company_dir,company_name,source_workbook,source_sheet,source_row,major_category,source_big,source_middle,metric_name,item_name,middle_category,evidence_text,quantitative_values,extracted_numbers_json,evidence_score,importance_grade,investor_relevance,data_origin,created_at
ltc,엘티씨,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,엘티씨,2,대표 기술,"사업 보고서, 기업 홈페이지, 특허 사이트",사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용 기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개 특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",핵심 기술 키워드,핵심 기술 키워드,"박리액, 세정액, 식각액 중심의 반도체·FPD 공정용 정밀 케미컬 기술 신규 영역으로 유리기판용 Glass Carrier, 저유전 절연막 조성물, CMP Slurry 개발",정성 근거 중심,[],78.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:55:31
ltc,엘티씨,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,엘티씨,3,대표 기술,"사업 보고서, 기업 홈페이지, 특허 사이트",사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용 기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개 특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",적용 방식,적용 방식,"디스플레이 패널 및 반도체 제조 공정에서 박막 제거, 잔사 세정, 식각 후 세정, 웨이퍼/기판 공정 안정화 방식으로 적용 기존 주력은 양산 공정용 케미컬이고, 신규는 첨단패키징/유리기판용 소재로 확장 중",정성 근거 중심,[],91.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:55:31
ltc,엘티씨,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,엘티씨,4,대표 기술,"사업 보고서, 기업 홈페이지, 특허 사이트",사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용 기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개 특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",핵심 성능 요소,핵심 성능 요소,"공정 손상 최소화, 잔사 제거력, 선택비 확보, 고집적 회로 공정 적합성, 미세패턴 대응성, 양산라인 적용 안정성",정성 근거 중심,[],82.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:55:31
ltc,엘티씨,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,엘티씨,5,핵심 제품/서비스,사업 보고서 - 매출 구성 홈페이지 매출구성 IR 발표자료,사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적 홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류 IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",제품명/서비스명,제품명/서비스명,"주요 제품 FPD용 LT-360, 반도체용 LT-450, 웨이퍼용 STW, C.C.S.S","-360, -450","[{""raw"": ""-360"", ""value"": -360.0, ""unit"": """"}, {""raw"": ""-450"", ""value"": -450.0, ""unit"": """"}]",78.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:55:31
ltc,엘티씨,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,엘티씨,6,핵심 제품/서비스,사업 보고서 - 매출 구성 홈페이지 매출구성 IR 발표자료,사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적 홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류 IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",적용 기술,적용 기술,"LT-360은 FPD 공정용 박리/세정계열, LT-450과 STW는 반도체 공정용 세정/박리/공정 케미컬 계열, C.C.S.S는 공정용 화학소재 공급 체계와 관련","-360, -450","[{""raw"": ""-360"", ""value"": -360.0, ""unit"": """"}, {""raw"": ""-450"", ""value"": -450.0, ""unit"": """"}]",88.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:55:31
ltc,엘티씨,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,엘티씨,7,핵심 제품/서비스,사업 보고서 - 매출 구성 홈페이지 매출구성 IR 발표자료,사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적 홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류 IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",주요 고객군,주요 고객군,"디스플레이 패널 업체, 반도체 제조·패키징 고객 디스플레이 패널 제조사, 특히 삼성디스플레이 중국 공장 관련 언급",정성 근거 중심,[],75.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:55:31
ltc,엘티씨,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,엘티씨,8,고객 구매 이유,1) IR 2) 제품 홍보 자료 3) 인터뷰 기사,IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례 제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ 인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",고객 효익,고객 효익,"공정 불량 저감, 잔사 제거, 패턴 손상 최소화, 생산라인 안정성 확보, 공급 안정성","1, 2, 3","[{""raw"": ""1"", ""value"": 1.0, ""unit"": """"}, {""raw"": ""2"", ""value"": 2.0, ""unit"": """"}, {""raw"": ""3"", ""value"": 3.0, ""unit"": """"}]",93.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:55:31
ltc,엘티씨,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,엘티씨,9,고객 구매 이유,1) IR 2) 제품 홍보 자료 3) 인터뷰 기사,IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례 제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ 인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",경쟁 제품 대비 장점,경쟁 제품 대비 장점,"단순 판매형이 아니라 고객 공정 맞춤형 조성물 공급이 가능하고, 원재료를 대부분 국내 업체에서 약 90% 조달하여 공급 안정성 강함","90%, 1, 2, 3","[{""raw"": ""90%"", ""value"": 90.0, ""unit"": ""%""}, {""raw"": ""1"", ""value"": 1.0, ""unit"": """"}, {""raw"": ""2"", ""value"": 2.0, ""unit"": """"}, {""raw"": ""3"", ""value"": 3.0, ""unit"": """"}]",95.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:55:31
ltc,엘티씨,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,엘티씨,10,고객 구매 이유,1) IR 2) 제품 홍보 자료 3) 인터뷰 기사,IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례 제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ 인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",실제 적용 사례,실제 적용 사례,"LT-360, LT-450, STW, C.C.S.S가 이미 매출로 잡히고 있어 실제 라인 적용 제품 또한 판매 전략상 중국 디스플레이 공장 증설 대응이 명시","-360, -450, 1, 2, 3","[{""raw"": ""-360"", ""value"": -360.0, ""unit"": """"}, {""raw"": ""-450"", ""value"": -450.0, ""unit"": """"}, {""raw"": ""1"", ""value"": 1.0, ""unit"": """"}, {""raw"": ""2"", ""value"": 2.0, ""unit"": """"}, {""raw"": ""3"", ""value"": 3.0, ""unit"": """"}]",95.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:55:31
ltc,엘티씨,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,엘티씨,11,경쟁 우위 요소/대체가능성,사업보고서 / 특허 / 기사,사업보고서: 시장 경쟁상황 / 진입장벽 / 기술 경쟁력 / 주요 원재료·공정 우위 / 위험요인 / 신규 경쟁사 언급 특허: 등록특허 수 / 핵심 특허 존속기간 / 청구항 범위 / 회피설계 난이도 / 해외 등록 여부 기사: 경쟁사 비교 기사 / 국산화·대체재 기사 / 고객사 공급 확정 기사 / 업계 평가 / 가격·수율 경쟁 기사,"등록 특허 수, 인증 수, 주요 고객 승인 수, 고객 전환 기간, 레퍼런스 건수",등록 특허,등록 특허,"박리액 조성물, 반도체 기판 식각 잔여물 제거용 세정액 조성물, 웨이퍼 후면 보호막 제거용 조성물, 유리기판 반도체 패키징용 글라스 캐리어, 저유전성 절연막 조성물",정성 근거 중심,[],95.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:55:31
