universe_id,company_dir,company_name,ticker,market,sector_label,peer_group,semiconductor_tag,reference_role,is_focal,include_in_chair,selected_for_30,selection_score,cluster_id,distance_to_centroid,top_terms,valuation_proxy_label,credit_proxy_label,review_flag,document_source,patent_csv,patent_rows,document_chars
소재_01_014680,hansol,한솔케미칼,014680,,소재,소재,소재,FOCAL_REPORT_TARGET,1,1,1,1100.2721,6,0.74441,한솔케미칼|h01m|있다|있게|c08f|조성물|제조방법|있는|자동차용|대한솔루션,ATTRACTIVE,LOW_RISK,OK,universe_csv+kipris_or_outputs,data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv,651,293346
소재_02_170920,ltc,엘티씨,170920,,소재,소재,소재,FOCAL_REPORT_TARGET,1,1,1,1090.7717,6,0.67768,있다|위한|있는|제1|윤활유|것으로|의해|것을|따른|따라,FAIR,LOW_RISK,OK,universe_csv+kipris_or_outputs,data\반도체\엘티씨\tech\source\kipris_ltc_patents.csv,506,264192
후공정_패키징_테스트_01_033640,nepes,네패스,033640,,후공정/패키징/테스트,후공정/패키징/테스트,후공정/패키징/테스트,FOCAL_REPORT_TARGET,1,1,1,1082.296,6,0.701323,반도체|h10w|제1|네패스|패키지|반도체 패키지|재배선|제2|상에|전기적으로,ATTRACTIVE,MEDIUM_RISK,OK,universe_csv+kipris_or_outputs,data\반도체\네패스\tech\source\kipris_nepes_patents.csv,420,200762
후공정_패키징_테스트_02_042700,hanmi,한미반도체,042700,,후공정/패키징/테스트,후공정/패키징/테스트,후공정/패키징/테스트,FOCAL_REPORT_TARGET,1,1,1,1071.7905,6,0.70034,반도체|h10p|a61k|패키지|한미반도체|반도체 패키지|이의|있는|한미반도체 반도체|한미약품,FAIR,LOW_RISK,AUDITOR_REVIEW;CREDIT_ANOMALY_TOP15PCT,universe_csv+kipris_or_outputs,data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv,896,390296
소재_03_317330,duksan,덕산테코피아,317330,,소재,소재,소재,FOCAL_REPORT_TARGET,1,1,1,1026.9482,6,0.789461,덕산테코피아|반도체|정량화|수지|조성물|특허|등록|있다|g03f|캐니스터,EXPENSIVE,HIGH_RISK,AUDITOR_REVIEW;CREDIT_ANOMALY_TOP15PCT,universe_csv+kipris_or_outputs,data\반도체\덕산테코피아\tech\source\kipris_duksan_patents.csv,38,35526
소재_04_101160,월덱스,월덱스,101160,,소재,소재,소재,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,105.8433,2,0.080752,소재|소재 소재|attractive|low_risk|attractive low_risk|credit_risk_score_0.0|attractive credit|valuation attractive|low_risk attractive|human_review attractive,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,450
idm_제조_메모리_01_241770,메카로,메카로,241770,,IDM/제조/메모리,IDM/제조/메모리,IDM/제조/메모리,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,104.6945,3,0.021379,idm/제조/메모리|idm/제조/메모리 idm/제조/메모리|attractive|low_risk|attractive low_risk|credit_risk_score_0.0|valuation attractive|low_risk attractive|human_review attractive|attractive credit,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,531
팹리스_설계_01_108320,lx세미콘,LX세미콘,108320,,팹리스/설계,팹리스/설계,팹리스/설계,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,104.1154,4,0.0,팹리스/설계|팹리스/설계 팹리스/설계|attractive|low_risk|attractive low_risk|credit_risk_score_0.0|attractive credit|valuation attractive|low_risk attractive|human_review attractive,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,492
장비_01_141000,비아트론,비아트론,141000,,장비,장비,장비,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,104.0061,0,0.0,장비 장비|장비|attractive|low_risk|attractive low_risk|credit_risk_score_0.0|low_risk attractive|human_review attractive|valuation attractive|attractive credit,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,451
팹리스_설계_02_052860,아이앤씨,아이앤씨,052860,,팹리스/설계,팹리스/설계,팹리스/설계,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,103.9195,4,0.0,팹리스/설계|팹리스/설계 팹리스/설계|attractive|low_risk|attractive low_risk|credit_risk_score_0.0|attractive credit|valuation attractive|low_risk attractive|human_review attractive,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,492
후공정_패키징_테스트_03_045300,성우테크론,성우테크론,045300,,후공정/패키징/테스트,후공정/패키징/테스트,후공정/패키징/테스트,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,103.7292,1,0.078854,후공정/패키징/테스트|후공정/패키징/테스트 후공정/패키징/테스트|attractive|low_risk|attractive low_risk|valuation attractive|low_risk attractive|attractive credit|human_review attractive|low_risk high,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,557
소재_05_102710,이엔에프테크놀로지,이엔에프테크놀로지,102710,,소재,소재,소재,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,102.8683,2,0.080752,소재|소재 소재|attractive|low_risk|attractive low_risk|credit_risk_score_0.0|attractive credit|valuation attractive|low_risk attractive|human_review attractive,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,457
idm_제조_메모리_02_000990,db하이텍,DB하이텍,000990,,IDM/제조/메모리,IDM/제조/메모리,IDM/제조/메모리,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,102.7644,3,0.021379,idm/제조/메모리|idm/제조/메모리 idm/제조/메모리|attractive|low_risk|attractive low_risk|credit_risk_score_0.0|valuation attractive|low_risk attractive|human_review attractive|attractive credit,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,533
장비_02_029460,케이씨,케이씨,029460,,장비,장비,장비,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,102.703,0,0.0,장비 장비|장비|attractive|low_risk|attractive low_risk|credit_risk_score_0.0|low_risk attractive|human_review attractive|valuation attractive|attractive credit,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,449
장비_03_025000,kpx케미칼,KPX케미칼,025000,,장비,장비,장비,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,102.5372,0,0.0,장비 장비|장비|attractive|low_risk|attractive low_risk|credit_risk_score_0.0|low_risk attractive|human_review attractive|valuation attractive|attractive credit,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,442
팹리스_설계_03_093520,매커스,매커스,093520,,팹리스/설계,팹리스/설계,팹리스/설계,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,102.2068,4,0.0,팹리스/설계|팹리스/설계 팹리스/설계|attractive|low_risk|attractive low_risk|credit_risk_score_0.0|attractive credit|valuation attractive|low_risk attractive|human_review attractive,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,491
장비_04_083450,gst,GST,083450,,장비,장비,장비,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,102.0405,0,0.0,장비 장비|장비|attractive|low_risk|attractive low_risk|credit_risk_score_0.0|low_risk attractive|human_review attractive|valuation attractive|attractive credit,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,450
후공정_패키징_테스트_04_219420,링크제니시스,링크제니시스,219420,,후공정/패키징/테스트,후공정/패키징/테스트,후공정/패키징/테스트,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,101.6276,1,0.078854,후공정/패키징/테스트|후공정/패키징/테스트 후공정/패키징/테스트|attractive|low_risk|attractive low_risk|valuation attractive|low_risk attractive|attractive credit|human_review attractive|low_risk high,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,559
idm_제조_메모리_03_096870,엘디티,엘디티,096870,,IDM/제조/메모리,IDM/제조/메모리,IDM/제조/메모리,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,100.8588,3,0.021379,idm/제조/메모리|idm/제조/메모리 idm/제조/메모리|attractive|low_risk|attractive low_risk|human_review attractive|valuation attractive|low_risk attractive|attractive credit|low_risk high,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,546
후공정_패키징_테스트_05_053610,프로텍,프로텍,053610,,후공정/패키징/테스트,후공정/패키징/테스트,후공정/패키징/테스트,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,98.1146,1,0.236562,후공정/패키징/테스트|후공정/패키징/테스트 후공정/패키징/테스트|fair|fair low_risk|low_risk|low_risk high|high high|valuation/credit ml|ml overlay|valuation/credit,FAIR,LOW_RISK,OK,universe_csv_only,,0,537
idm_제조_메모리_04_078350,한양디지텍,한양디지텍,078350,,IDM/제조/메모리,IDM/제조/메모리,IDM/제조/메모리,REFERENCE_PEER_FROM_VALUATION_CREDIT_ML,0,0,1,98.058,3,0.021379,idm/제조/메모리|idm/제조/메모리 idm/제조/메모리|attractive|low_risk|attractive low_risk|human_review attractive|valuation attractive|low_risk attractive|attractive credit|low_risk high,ATTRACTIVE,LOW_RISK,OK,universe_csv_only,,0,546
