company_dir,company_name,source_workbook,source_sheet,source_row,major_category,source_big,source_middle,metric_name,item_name,middle_category,evidence_text,quantitative_values,extracted_numbers_json,evidence_score,importance_grade,investor_relevance,data_origin,created_at
hansol,한솔케미칼,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,한솔,2,대표 기술,"사업 보고서, 기업 홈페이지, 특허 사이트",사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용 기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개 특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",핵심 기술 키워드,핵심 기술 키워드,"초고순도 과산화수소, 반도체 프리커서(Precursor), 이차전지 바인더·실리콘음극재 주요 제품군은 라텍스, 과산화수소, PAM, 차아황산소다, Precursor, 전자재료, 이차전지재료로 제시 반도체 박막 형성용 프리커서, 디스플레이용 Resin·QD, 음극바인더·분리막바인더·실리콘음극재가 핵심 기술 영역 사업보고서 텍스트 내부 집계 기준으로는 과산화수소 11회, Precursor/프리커서 17회, 이차전지 30회가 확인 --> 핵심 기술 키워드 합산 58회 .","11회, 17회, 30회, 58회","[{""raw"": ""11회"", ""value"": 11.0, ""unit"": ""회""}, {""raw"": ""17회"", ""value"": 17.0, ""unit"": ""회""}, {""raw"": ""30회"", ""value"": 30.0, ""unit"": ""회""}, {""raw"": ""58회"", ""value"": 58.0, ""unit"": ""회""}]",94.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:33:48
hansol,한솔케미칼,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,한솔,3,대표 기술,"사업 보고서, 기업 홈페이지, 특허 사이트",사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용 기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개 특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",적용 방식,적용 방식,"정밀화학 제품은 반도체·디스플레이·제지·섬유에 사용되는 과산화수소와 BPO 중심이고, 전자 및 이차전지소재는 반도체 박막 형성용 프리커서, 디스플레이용 QD/Resin, 음극바인더·분리막바인더·실리콘음극재로 적용 공식 제품 설명 기준 과산화수소는 반도체·디스플레이·PCB·이차전지·제지·섬유·수처리 등 7개 이상 영역에 쓰이고, 프리커서는 ALD/CVD 박막 증착 공정에 사용",7개,"[{""raw"": ""7개"", ""value"": 7.0, ""unit"": ""개""}]",82.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:33:48
hansol,한솔케미칼,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,한솔,4,대표 기술,"사업 보고서, 기업 홈페이지, 특허 사이트",사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용 기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개 특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",핵심 성능 요소,핵심 성능 요소,"초고순도, 반도체 공정 적합성, 이차전지 안정성·수명 향상, 양산 적용성 공시자료에는 순도 %, 온도 ℃ 같은 절대 물성 수치는 거의 없고, 양산 관련 정량지표로 정밀화학(울산) 가동률 85.6%, 정밀화학(전주) 83.8%, 제지/환경 73.7%, 전자 및 이차전지소재 34.2% 공식 제품 설명 기준으로 이차전지 바인더는 용량·사이클 특성 개선, QD는 중금속 프리(zinc-free/heavy-metal-free) 방향이 강조","85.6%, 83.8%, 73.7%, 34.2%","[{""raw"": ""85.6%"", ""value"": 85.6, ""unit"": ""%""}, {""raw"": ""83.8%"", ""value"": 83.8, ""unit"": ""%""}, {""raw"": ""73.7%"", ""value"": 73.7, ""unit"": ""%""}, {""raw"": ""34.2%"", ""value"": 34.2, ""unit"": ""%""}]",95.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:33:48
hansol,한솔케미칼,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,한솔,5,핵심 제품/서비스,사업 보고서 - 매출 구성 홈페이지 매출구성 IR 발표자료,사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적 홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류 IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",제품명/서비스명,제품명/서비스명,"전자 및 이차전지소재제품, 정밀화학제품, 제지/환경제품 2025년 기준 각각 324,714백만원(47.5%), 217,726백만원(31.9%), 110,064백만원(16.1%)으로, 상위 3개 제품군이 사실상 제품 매출 대부분을 차지 주요 제품 리스트로는 라텍스, 과산화수소, PAM, 차아황산소다, Precursor, 전자재료, 이차전지재료","2025년, 324,714, 47.5%, 217,726, 31.9%, 110,064, 16.1%, 3개","[{""raw"": ""2025년"", ""value"": 2025.0, ""unit"": ""년""}, {""raw"": ""324,714"", ""value"": 324714.0, ""unit"": """"}, {""raw"": ""47.5%"", ""value"": 47.5, ""unit"": ""%""}, {""raw"": ""217,726"", ""value"": 217726.0, ""unit"": """"}, {""raw"": ""31.9%"", ""value"": 31.9, ""unit"": ""%""}, {""raw"": ""110,064"", ""value"": 110064.0, ""unit"": """"}, {""raw"": ""16.1%"", ""value"": 16.1, ""unit"": ""%""}, {""raw"": ""3개"", ""value"": 3.0, ""unit"": ""개""}]",86.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:33:48
hansol,한솔케미칼,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,한솔,6,핵심 제품/서비스,사업 보고서 - 매출 구성 홈페이지 매출구성 IR 발표자료,사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적 홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류 IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",적용 기술,적용 기술,"과산화수소 정제·농축 기술, 반도체 박막 형성용 프리커서 합성 기술, QD/Resin 전자재료 제조 기술, 이차전지 음극바인더·분리막바인더·실리콘음극재 기술 연구개발 실적에는 퀀텀닷 양산기술, 이차전지 바인더 기술, 반도체 프리커서(DIPAS/BDEAS/TSA/CpCo(CO)2/3DMAS/ZAC/DIS/HfCl4) 개발이 다수 확인되며 상당수가 상업생산 적용중","2, 3, 4","[{""raw"": ""2"", ""value"": 2.0, ""unit"": """"}, {""raw"": ""3"", ""value"": 3.0, ""unit"": """"}, {""raw"": ""4"", ""value"": 4.0, ""unit"": """"}]",90.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:33:48
hansol,한솔케미칼,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,한솔,7,핵심 제품/서비스,사업 보고서 - 매출 구성 홈페이지 매출구성 IR 발표자료,사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적 홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류 IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",주요 고객군,주요 고객군,"반도체 제조사/공정 고객, 디스플레이 고객, 제지 고객, 이차전지 소재 고객 공시상 공개된 주요 고객은 삼영순화㈜ 150,454,683천원(22.02%), 한솔제지㈜ 54,831,696천원(8.03%)이며, 합산 비중은 30.05% 연결 종속회사 테이팩스는 이력상 삼성디스플레이 1차 Vender, 삼성전자(반도체사업부) 1차 Vender","150,454,683, 22.02%, 54,831,696, 8.03%, 30.05%, 1, 1","[{""raw"": ""150,454,683"", ""value"": 150454683.0, ""unit"": """"}, {""raw"": ""22.02%"", ""value"": 22.02, ""unit"": ""%""}, {""raw"": ""54,831,696"", ""value"": 54831696.0, ""unit"": """"}, {""raw"": ""8.03%"", ""value"": 8.03, ""unit"": ""%""}, {""raw"": ""30.05%"", ""value"": 30.05, ""unit"": ""%""}, {""raw"": ""1"", ""value"": 1.0, ""unit"": """"}, {""raw"": ""1"", ""value"": 1.0, ""unit"": """"}]",94.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:33:48
hansol,한솔케미칼,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,한솔,8,고객 구매 이유,1) IR 2) 제품 홍보 자료 3) 인터뷰 기사,IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례 제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ 인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급,`,고객 효익,고객 효익,"초고순도/공정 적합성, 산화·세정 성능, 박막 형성용 공정소재 공급, 이차전지 안정성·수명 향상입 공식 제품 소개에 따르면 과산화수소는 반도체라인 증설에 따라 수요가 계속 늘고 있고, 음극 바인더는 배터리 용량 및 사이클 특성 개선에 기여","1, 2, 3","[{""raw"": ""1"", ""value"": 1.0, ""unit"": """"}, {""raw"": ""2"", ""value"": 2.0, ""unit"": """"}, {""raw"": ""3"", ""value"": 3.0, ""unit"": """"}]",93.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:33:48
hansol,한솔케미칼,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,한솔,9,고객 구매 이유,1) IR 2) 제품 홍보 자료 3) 인터뷰 기사,IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례 제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ 인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급,`,경쟁 제품 대비 장점,경쟁 제품 대비 장점,"다품목 정밀화학 + 전자소재 + 이차전지소재를 동시에 보유한 포트폴리오, 반도체용 프리커서와 QD까지 연결되는 고부가 전자소재 기술, 상업생산 적용중인 개발과제 다수 연구개발 실적에서 퀀텀닷 양산기술, 이차전지 바인더 기술, 다수의 반도체 프리커서 개발이 이미 상업생산 적용중","1, 2, 3","[{""raw"": ""1"", ""value"": 1.0, ""unit"": """"}, {""raw"": ""2"", ""value"": 2.0, ""unit"": """"}, {""raw"": ""3"", ""value"": 3.0, ""unit"": """"}]",83.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:33:48
hansol,한솔케미칼,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,한솔,10,고객 구매 이유,1) IR 2) 제품 홍보 자료 3) 인터뷰 기사,IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례 제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ 인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급,`,실제 적용 사례,실제 적용 사례,"퀀텀닷 양산기술 개발 → 상업생산 적용중, 이차전지 바인더 기술 개발 → 상업생산 적용중, 반도체 프리커서(DIPAS/BDEAS/TSA/ZAC/DIS/HfCl4 등) 개발 → 상업생산 적용중, 실리콘 음극재 개발 → 상업생산 적용 준비중 전자 및 이차전지소재 매출은 2025년 324,714백만원, 전년 대비 37.1% 증가","4, 2025년, 324,714, 37.1%, 1, 2, 3","[{""raw"": ""4"", ""value"": 4.0, ""unit"": """"}, {""raw"": ""2025년"", ""value"": 2025.0, ""unit"": ""년""}, {""raw"": ""324,714"", ""value"": 324714.0, ""unit"": """"}, {""raw"": ""37.1%"", ""value"": 37.1, ""unit"": ""%""}, {""raw"": ""1"", ""value"": 1.0, ""unit"": """"}, {""raw"": ""2"", ""value"": 2.0, ""unit"": """"}, {""raw"": ""3"", ""value"": 3.0, ""unit"": """"}]",95.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:33:48
hansol,한솔케미칼,C:/Agent_6.9/data/반도체/_sector_common/templates/tech_template.xlsx,한솔,11,경쟁 우위 요소/대체가능성,사업보고서 / 특허 / 기사,사업보고서: 시장 경쟁상황 / 진입장벽 / 기술 경쟁력 / 주요 원재료·공정 우위 / 위험요인 / 신규 경쟁사 언급 특허: 등록특허 수 / 핵심 특허 존속기간 / 청구항 범위 / 회피설계 난이도 / 해외 등록 여부 기사: 경쟁사 비교 기사 / 국산화·대체재 기사 / 고객사 공급 확정 기사 / 업계 평가 / 가격·수율 경쟁 기사,"등록 특허 수, 인증 수, 주요 고객 승인 수, 고객 전환 기간, 레퍼런스 건수",등록 특허,등록 특허,"한솔케미칼은 출원 200건, 등록 121건의 특허 이력을 보유 QD 배리어 필름 특허와 리튬이차전지용 음극 활물질 계열 특허","200건, 121건","[{""raw"": ""200건"", ""value"": 200.0, ""unit"": ""건""}, {""raw"": ""121건"", ""value"": 121.0, ""unit"": ""건""}]",95.0,강,Excel-frame 항목명·정량화 가능 지표·근거 본문을 연결한 개인투자자 설명 가능 Tech 근거,sector_template_excel_row_level,2026-05-26T03:33:48
