company_name,sheet,excel_row,category,major_source,middle_source,quantifiable,item_name,content,content_present,content_char_count,numeric_signal_count,keyword_signal_count,metric_name,metric_value,metric_unit,metric_value_source,keyword_counts,numbers
덕산테코피아,덕산,2,대표 기술,"사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허","기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",핵심 기술 키워드,"반도체 박막·증착 공정용 전구체(Precursor), 고순도 정제, Low-k/저온 증착용 Si precursor, High-k metal precursor, OLED 유기소재, 전해액 첨가제
 반도체 소재를 반도체 제조 과정 중 박막·증착 공정에서 사용되는 전구체(Precursor)라고 정의, 주요 제품으로 HCDS, SiCl4, OMCTS, Star-Ti
반기보고서의 연구개발 항목에서 Low-k 공정 최적화, 저온 증착용 반도체 precursor 개발, Metal precursor 개발이 반복적으로 등장
OLED 쪽은 HIL, HTL, Red Host, Green Host, Blue Prime, Blue Host, HT Prime, Electron Transport Material이 공식 표현으로 노출
배터리 쪽은 전해액 첨가제, 양극용 첨가제, 분산제, 바인더, 기능성 화학 소재는 고굴절 모노머, 합성고무용 첨가제, 의약품 중간체는 류마티스·대사질환·항생제·위궤양·세포독성 항암제용 중간체가 핵심",True,510,1,28,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",4.0,number,"사용되는 전구체(Precursor)라고 정의, 주요 제품으로 HCDS, SiCl4, OMCTS, Star-Ti
반기보고서의 연구개발 항목에서 Low-k 공정 최적화, 저온 증착용","{""Precursor"": 6, ""반도체"": 4, ""증착"": 4, ""공정"": 3, ""소재"": 3, ""OLED"": 2, ""박막"": 2, ""전구체"": 2, ""고순도"": 1, ""배터리"": 1}","[{""raw"": ""4"", ""value"": 4.0, ""unit"": """", ""context"": ""사용되는 전구체(Precursor)라고 정의, 주요 제품으로 HCDS, SiCl4, OMCTS, Star-Ti\n반기보고서의 연구개발 항목에서 Low-k 공정 최적화, 저온 증착용""}]"
덕산테코피아,덕산,3,대표 기술,"사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허","기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",적용 방식,"반도체 소재는 DRAM과 NAND Flash 생산 공정의 박막 형성/증착 공정에 투입되며, 반도체 Value Chain에서 산화-포토-식각-증착(박막)-금속배선-테스트-패키징 흐름을 제시하고, 이 중 자사 소재가 증착 공정에서 박막 형성용 전구체로 활용
OLED 소재는 유기층 형성용 재료군으로, 배터리 소재는 전해액/양극재 계열 첨가제로, 의약품 중간체는 질환별 원료의약품 합성 단계에서, 기능성 화학 소재는 고굴절/합성고무용 기능성 첨가제로 적용",True,251,0,21,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",251,chars,엑셀 내용 글자 수,"{""소재"": 5, ""공정"": 3, ""박막"": 3, ""증착"": 3, ""반도체"": 2, ""OLED"": 1, ""배터리"": 1, ""식각"": 1, ""전구체"": 1, ""패키징"": 1}",[]
덕산테코피아,덕산,4,대표 기술,"사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허","기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",핵심 성능 요소,"반도체 소재 쪽에서 공개된 성능·물성 요소로 고순도, 공정 최적화, 저온 증착 대응, 박막 형성 안정성
 HCDS의 경우 끓는점 144℃, 녹는점 -1℃, 밀도 1.58 g/mL(0℃)
반기보고서에서 impurity 관리에 따른 고순도 제품 개발, 공정 연구를 통한 지속적 원가 절감, 고순도 정제법 개발, 공정 최적화 및 양산화가 핵심 성능 요소로 정의
고객 성능 개선율 %, 수율 개선율 %, 처리속도 향상 % 알 수 x",True,237,4,12,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",144.0,℃,"도, 공정 최적화, 저온 증착 대응, 박막 형성 안정성
 HCDS의 경우 끓는점 144℃, 녹는점 -1℃, 밀도 1.58 g/mL(0℃)
반기보고서에서 impurity 관리에 따른 고순도","{""고순도"": 3, ""공정"": 3, ""고객"": 1, ""박막"": 1, ""반도체"": 1, ""소재"": 1, ""양산"": 1, ""증착"": 1}","[{""raw"": ""144"", ""value"": 144.0, ""unit"": ""℃"", ""context"": ""도, 공정 최적화, 저온 증착 대응, 박막 형성 안정성\n HCDS의 경우 끓는점 144℃, 녹는점 -1℃, 밀도 1.58 g/mL(0℃)\n반기보고서에서 impurity 관리에 따른 고순도""}, {""raw"": ""-1"", ""value"": -1.0, ""unit"": ""℃"", ""context"": ""저온 증착 대응, 박막 형성 안정성\n HCDS의 경우 끓는점 144℃, 녹는점 -1℃, 밀도 1.58 g/mL(0℃)\n반기보고서에서 impurity 관리에 따른 고순도 제품 개발, 공""}, {""raw"": ""1.58"", ""value"": 1.58, ""unit"": ""g/mL"", ""context"": ""응, 박막 형성 안정성\n HCDS의 경우 끓는점 144℃, 녹는점 -1℃, 밀도 1.58 g/mL(0℃)\n반기보고서에서 impurity 관리에 따른 고순도 제품 개발, 공정 연구를 통한 지속적 원""}, {""raw"": ""0"", ""value"": 0.0, ""unit"": ""℃"", ""context"": ""정성\n HCDS의 경우 끓는점 144℃, 녹는점 -1℃, 밀도 1.58 g/mL(0℃)\n반기보고서에서 impurity 관리에 따른 고순도 제품 개발, 공정 연구를 통한 지속적 원가 절""}]"
덕산테코피아,덕산,5,핵심 제품/서비스,"사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드","매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",제품명/서비스명,"반도체 소재, OLED 소재, 배터리 소재, 의약품 중간체, 기능성 화학 소재의 5개 축
반도체 쪽 대표 제품은 HCDS, SiCl4, OMCTS, Star-Ti이고, OLED 쪽은 HIL, HTL, Red Host, Green Host, Blue Prime, Blue Host, HT Prime, Electron Transport Material이 제시
배터리 쪽은 전해액 첨가제, 양극용 첨가제, 분산제, 바인더가, 기능성 화학 소재는 고굴절 모노머, 합성고무용 첨가제가, 의약품 중간체는 질환군별 중간체가 대표 제품군",True,292,2,11,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",5.0,개,"반도체 소재, OLED 소재, 배터리 소재, 의약품 중간체, 기능성 화학 소재의 5개 축
반도체 쪽 대표 제품은 HCDS, SiCl4, OMCTS, Star-Ti이고, OLED 쪽은","{""소재"": 5, ""OLED"": 2, ""반도체"": 2, ""배터리"": 2}","[{""raw"": ""5"", ""value"": 5.0, ""unit"": ""개"", ""context"": ""반도체 소재, OLED 소재, 배터리 소재, 의약품 중간체, 기능성 화학 소재의 5개 축\n반도체 쪽 대표 제품은 HCDS, SiCl4, OMCTS, Star-Ti이고, OLED 쪽은""}, {""raw"": ""4"", ""value"": 4.0, ""unit"": """", ""context"": ""중간체, 기능성 화학 소재의 5개 축\n반도체 쪽 대표 제품은 HCDS, SiCl4, OMCTS, Star-Ti이고, OLED 쪽은 HIL, HTL, Red Host, Green H""}]"
덕산테코피아,덕산,6,핵심 제품/서비스,"사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드","매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",적용 기술,"제품군별로 반도체 전구체 합성·고순도 정제·증착 공정 대응, OLED 유기재료 설계/합성, 전해액 첨가제·양극재 첨가제 조성 기술, 의약품 중간체 합성 기술, 고굴절·합성고무용 기능성 첨가제 기술로 나뉨.",True,114,0,6,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",114,chars,엑셀 내용 글자 수,"{""OLED"": 1, ""고순도"": 1, ""공정"": 1, ""반도체"": 1, ""전구체"": 1, ""증착"": 1}",[]
덕산테코피아,덕산,7,핵심 제품/서비스,"사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드","매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",주요 고객군,"메모리 반도체 제조사(DRAM/NAND), OLED 디스플레이 밸류체인 업체, 배터리 제조사, 제약사/원료의약품 업체, 기능성 화학소재 수요 산업 고객
 공식 홈페이지에서는 반도체 제품의 주요 용도를 DRAM/NAND Flash 메모리 생산 공정이라고 명시하며, 복수의 글로벌 배터리 제조사와 공급 협의 중이라고 밝힘.",True,178,0,8,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",178,chars,엑셀 내용 글자 수,"{""반도체"": 2, ""배터리"": 2, ""OLED"": 1, ""고객"": 1, ""공정"": 1, ""소재"": 1}",[]
덕산테코피아,덕산,8,고객 구매 이유,"1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급","성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",고객 효익,"고성능 공정 대응, 고순도 확보, 박막 형성 안정성, 저온 증착 대응, 원가 절감 가능성
반기보고서) impurity 관리에 따른 고순도 제품 개발과 공정 연구를 통한 지속적 원가 절감, 공정 최적화 및 양산화. 
배터리 첨가제는 전해액의 열화 현상을 방지하는 필수 재료",True,151,0,9,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",151,chars,엑셀 내용 글자 수,"{""공정"": 3, ""고순도"": 2, ""박막"": 1, ""배터리"": 1, ""양산"": 1, ""증착"": 1}",[]
덕산테코피아,덕산,9,고객 구매 이유,"1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급","성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",경쟁 제품 대비 장점,"장점 : 반도체 미세공정 대응 소재 포트폴리오, 고순도 정제/공정 최적화 노하우, 반도체·OLED·배터리·바이오로 이어지는 포트폴리오 다각화",True,78,0,8,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",78,chars,엑셀 내용 글자 수,"{""공정"": 2, ""반도체"": 2, ""OLED"": 1, ""고순도"": 1, ""배터리"": 1, ""소재"": 1}",[]
덕산테코피아,덕산,10,고객 구매 이유,"1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급","성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",실제 적용 사례,"반도체 소재는 DRAM/NAND Flash 메모리 생산 공정의 박막 형성에 배터리 적용 중
연구개발 항목에서 고분자 중합반응용 촉매 공정 최적화 및 양산화 완료, 디스플레이용 유기소재 제품개발 상품화 완료, SSBR용 실란 개질제 상품화 완료",True,135,0,8,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",135,chars,엑셀 내용 글자 수,"{""공정"": 2, ""소재"": 2, ""박막"": 1, ""반도체"": 1, ""배터리"": 1, ""양산"": 1}",[]
덕산테코피아,덕산,11,경쟁 우위 요소/대체가능성,사업보고서 / 특허 / 기사,"사업보고서: 시장 경쟁상황 / 진입장벽 / 기술 경쟁력 / 주요 원재료·공정 우위 / 위험요인 / 신규 경쟁사 언급
특허: 등록특허 수 / 핵심 특허 존속기간 / 청구항 범위 / 회피설계 난이도 / 해외 등록 여부
기사: 경쟁사 비교 기사 / 국산화·대체재 기사 / 고객사 공급 확정 기사 / 업계 평가 / 가격·수율 경쟁 기사","등록 특허 수, 인증 수, 주요 고객 승인 수, 고객 전환 기간, 레퍼런스 건수",등록 특허,"반도체용 유무기소재, 기능성 폴리머소재
트리알킬갈륨 제조방법, 우레탄 폴리머 합성 방법, 도전성 접착제, 도전성 잉크 등 확인",True,70,0,3,"등록 특허 수, 인증 수, 주요 고객 승인 수, 고객 전환 기간, 레퍼런스 건수",70,chars,엑셀 내용 글자 수,"{""소재"": 2, ""반도체"": 1}",[]
