application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,1,"1. 인터넷망을 통해 제공된 웹페이지를 표시하는 화면을 구비한 디스플레이, 상기 디스플레이의 제어신호를 수신하는 수신부, 및 상기 제어신호에 따라 상기 디스플레이의 표시동작을 제어하는 제어부를 구비하는 TV 본체; 및 사용자에 의해 상기 웹페이지의 표시위치 이동신호 및 상기 화면상의 클릭신호를 입력하기 위한 입력부, 및 상기 표시위치 이동신호 및 상기 클릭신호를 상기 수신부로 전송하는 송신부를 구비한 리모콘;을 포함하며, 상기 제어부는, 상기 표시위치 이동신호가 상기 수신부에 수신되면 상기 디스플레이를 제어하여 상기 화면상에서 상기 표시위치 이동신호에 대응하는 위치로 상기 웹페이지를 이동시켜 표시하고, 상기 클릭신호가 수신되면 상기 화면 내에서 사전에 정의된 특정영역이 클릭된 것으로 간주하여 상기 특정영역상의 상기 웹페이지에 링크된 웹사이트가 웹브라우저에 의해 표시되도록 상기 웹브라우저를 구동시키며,여기서, 상기 화면의 특정영역은 상기 화면의 중앙부위인 것을 특징으로 하는 것을 특징으로 하는 IPTV.",511,False,True,explicit_or_regex_estimated
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,2,"2. 제 1항에 있어서, 상기 입력부는, 상기 표시위치 이동신호 및 상기 클릭신호를 입력하기 위한 터치패드인 것을 특징으로 하는 IPTV.",77,True,False,explicit_or_regex_estimated
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,3,"3. 제 2항에 있어서, 상기 터치패드에는 상기 제어부가 상기 웹페이지의 크기를 축소/확대하여 상기 화면에 표시할 수 있도록 슬라이딩 접촉에 의해 축소/확대 신호를 입력하기 위한 크기 조절부가 특정 영역에 형성되는 것을 특징으로 하는 IPTV.",136,True,False,explicit_or_regex_estimated
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,4,"4. 제 1항에 있어서, 상기 입력부는, 상기 표시위치 이동신호를 입력하기 위한 방향 키, 및 상기 클릭신호를 입력하기 위한 클릭 키를 포함하여 구성되는 것을 특징으로 하는 IPTV.",102,True,False,explicit_or_regex_estimated
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,5,"5. 제 1항에 있어서, 상기 리모콘의 송신부는 적외선, RF(Radio Frequency), Wi-Fi(Wireless Fidelity), Blue-Tooth, Zig-bee, IrDA(Infrared Data Association), 무선 랜(Wireless Lan), HSDPA(High-Speed Downlink Packet Access), HSUPA(High-Speed Uplink Packet Access), 및 UWB(Ultra Wide Band) 중 적어도 하나의 통신 방식으로 상기 표시위치 이동신호 및 상기 클릭신호를 상기 TV본체의 수신부에 전송하는 것을 특징으로 하는 IPTV.",335,True,False,explicit_or_regex_estimated
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,7,"7. 제 1항에 있어서, 상기 제어부는, 상기 웹페이지가 상기 화면에 표시되면, 상기 디스플레이를 제어하여 상기 웹페이지 내에서 상기 화면의 특정부위에 표시됨에 따라 상기 클릭신호에 의해 선택될 수 있는 대상을 마킹하여 표시하는 것을 특징으로 하는 IPTV.",144,True,False,explicit_or_regex_estimated
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,8,"8. 제 7항에 있어서, 상기 마킹은 상기 클릭신호에 선택될 수 있는 대상의 둘레가 선으로 표시, 상기 대상이 굵은 글씨로 표시, 상기 대상이 확대되어 표시, 상기 대상이 명암 또는 색깔이 변경되면서 표시, 및 상기 대상에 밑줄이 쳐져서 표시되는 것 중에 적어도 어느 하나로 표시되는 것을 특징으로 하는 IPTV.",175,True,False,explicit_or_regex_estimated
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,9,"9. 인터넷망을 통해 제공된 웹페이지를 표시하는 화면을 구비한 디스플레이, 상기 디스플레이의 제어신호를 수신하는 수신부, 및 상기 제어신호에 따라 상기 디스플레이의 표시동작을 제어하는 제어부를 구비하는 TV 본체; 및 사용자에 의해 상기 디스플레이의 제어신호를 입력하기 위한 입력부, 및 상기 디스플레이 제어신호를 상기 수신부로 전송하는 송신부를 구비한 리모콘;을 포함하여 구성되는 IPTV의 웹브라우저 구동 방법에 있어서, a) 상기 송신부가, 사용자에 의해 상기 웹페이지의 표시위치 이동신호가 상기 입력부에 입력되면, 상기 표시위치 이동신호를 상기 수신부로 전송하는 단계; b) 상기 제어부가, 상기 송신부로부터 전송된 상기 표시위치 이동신호가 상기 수신부에 수신되면, 상기 디스플레이를 제어하여 상기 화면상에서 상기 표시위치 이동신호에 대응하는 위치로 상기 웹페이지를 이동시켜 표시하는 단계; c) 상기 송신부가, 상기 사용자에 의해 상기 화면상의 클릭신호가 상기 입력부에 입력되면, 상기 클릭신호를 상기 수신부로 전송하는 단계; 및 d) 상기 제어부가, 상기 송신부로부터 전송된 상기 클릭신호가 상기 수신부에 수신되면, 상기 화면 내에서 사전에 정의된 특정영역이 클릭된 것으로 간주하여 상기 특정영역상의 상기 웹페이지에 링크된 웹사이트가 웹브라우저에 의해 표시되도록 상기 웹브라우저를 구동시키는 단계;를 포함하며,여기서, 상기 화면의 특정영역은 상기 화면의 중앙부위인 것을 특징으로 하는 IPTV의 웹브라우저 구동 방법.",743,False,True,explicit_or_regex_estimated
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,10,"10. 제 9항에 있어서, 상기 입력부는, 상기 표시위치 이동신호 및 상기 클릭신호를 입력하기 위한 터치패드인 것을 특징으로 하는 IPTV의 웹브라우저 구동 방법.",91,True,False,explicit_or_regex_estimated
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,11,"11. 제 9항에 있어서, 상기 송신부는 적외선, RF(Radio Frequency), Wi-Fi(Wireless Fidelity), Blue-Tooth, Zig-bee, IrDA(Infrared Data Association), 무선 랜(Wireless Lan), HSDPA(High-Speed Downlink Packet Access), HSUPA(High-Speed Uplink Packet Access), 및 UWB(Ultra Wide Band) 중 적어도 하나의 통신 방식으로 상기 수신부와 통신하는 것을 특징으로 하는 IPTV의 웹브라우저 구동 방법.",314,True,False,explicit_or_regex_estimated
1020100051471,1020100067079,1010009000000,등록,등록,화면에 표시된 웹페이지의 링크 영역 선택이 용이한 IPTV 및 이를 이용한 웹브라우저 구동 방법,주식회사 코아시아넥셀,13,"13. 제 9항에 있어서, 상기 a) 단계에서 상기 송신부가, 상기 사용자에 의해 상기 웹페이지의 축소/확대 신호가 상기 입력부에 입력되면, 상기 축소/확대 신호를 상기 수신부로 전송하고, 상기 b) 단계에서 상기 제어부가, 상기 송신부로부터 전송된 상기 축소/확대 신호가 상기 수신부에 수신되면, 상기 디스플레이를 제어하여 상기 화면상에서 상기 축소/확대 신호에 대응하는 크기로 상기 웹페이지를 축소/확대하여 표시하는 것을 특징으로 하는 IPTV의 웹브라우저 구동 방법.",264,True,False,explicit_or_regex_estimated
1020100051473,1020100067080,1010009010000,등록,등록,가상 키보드가 표시되는 터치패널을 구비한 리모콘이 적용된 IPTV 및 이를 이용한 문자입력방법,주식회사 코아시아넥셀,1,"1. 인터넷망을 통해 제공된 웹페이지를 표시하는 화면을 구비한 디스플레이, 상기 디스플레이의 제어신호를 수신하는 TV 통신부, 및 상기 제어신호에 따라 상기 디스플레이의 표시동작을 제어하는 TV 제어부를 구비하는 TV 본체; 및 사용자에 의해 상기 디스플레이의 제어신호를 입력하기 위한 터치패널, 상기 TV 통신부와 상호 통신을 수행하는 리모콘 통신부, 및 상기 제어신호를 상기 리모콘 통신부를 통해 상기 TV 통신부로 전송하는 리모콘 제어부를 구비하는 리모콘;을 포함하며, 상기 리모콘 통신부로부터 상기 화면에 표시된 웹페이지 내의 특정 대상에 대한 선택신호가 상기 TV 통신부에 수신되는 경우, 상기 TV 제어부는 상기 특정 대상 선택신호가 상기 웹페이지 내의 문자 입력창을 선택하는 신호이면 상기 TV 통신부를 통해 문자입력모드 전환요청신호를 상기 리모콘 통신부로 전송하고, 상기 리모콘 제어부는 상기 리모콘 통신부에 상기 문자입력모드 전환요청신호가 수신되면 상기 문자 입력창에 상기 문자를 입력하기 위한 가상 키보드를 상기 터치패널에 표시시키고 상기 가상 키보드 중 적어도 하나의 문자 키의 선택신호가 입력되면 입력된 상기 문자 키 선택신호를 상기 리모콘 통신부를 통해 상기 TV 통신부로 전송하며, 상기 TV 제어부는 상기 TV 통신부에 상기 문자 입력창 선택신호가 수신됨에 따라 상기 디스플레이를 제어하여 상기 터치패널에 표시된 상기 가상 키보드와 동일한 키 패턴을 갖는 키보드 이미지를 상기 화면에 표시하고, 상기 TV 통신부에 상기 문자 키 선택신호가 수신되면 상기 문자 키 선택신호에 대응하는 문자를 상기 문자 입력창에 표시하며 상기 문자 키 선택신호에 대응하는 문자 키의 입력 확인을 상기 화면에 표시된 상기 키보드 이미지에 표시하는 것을 특징으로 하는 IPTV.",885,False,True,explicit_or_regex_estimated
1020100051473,1020100067080,1010009010000,등록,등록,가상 키보드가 표시되는 터치패널을 구비한 리모콘이 적용된 IPTV 및 이를 이용한 문자입력방법,주식회사 코아시아넥셀,2,"2. 제 1항에 있어서, 상기 TV 통신부와 상기 리모콘 통신부는 적외선, RF(Radio Frequency), Wi-Fi(Wireless Fidelity), Blue-Tooth, Zig-bee, IrDA(Infrared Data Association), 무선 랜(Wireless Lan), HSDPA(High-Speed Downlink Packet Access), HSUPA(High-Speed Uplink Packet Access), 및 UWB(Ultra Wide Band) 중 적어도 하나의 통신 방식으로 양방향 통신을 수행하여 상기 웹페이지의 문자 입력창에 문자를 입력하기 위한 정보를 송수신하는 것을 특징으로 하는 IPTV.",354,True,False,explicit_or_regex_estimated
1020100051473,1020100067080,1010009010000,등록,등록,가상 키보드가 표시되는 터치패널을 구비한 리모콘이 적용된 IPTV 및 이를 이용한 문자입력방법,주식회사 코아시아넥셀,4,"4. 제 1항에 있어서, 상기 리모콘 제어부는 상기 터치패널에 상기 가상 키보드가 표시되면 문자입력모드 전환완료신호를 상기 리모콘 통신부를 통해 상기 TV 통신부로 전송하고, 상기 TV 제어부는 상기 TV 통신부에 상기 문자입력모드 전환완료신호가 수신되면 상기 키보드 이미지를 상기 화면에 표시하도록 상기 디스플레이를 제어하며, 상기 TV 통신부에 상기 문자 키 선택신호가 수신되면 상기 문자 키 선택신호에 대응하는 상기 문자 키의 입력 확인을 상기 화면에 표시된 상기 키보드 이미지에 표시하는 것을 특징으로 하는 IPTV.",293,True,False,explicit_or_regex_estimated
1020100051473,1020100067080,1010009010000,등록,등록,가상 키보드가 표시되는 터치패널을 구비한 리모콘이 적용된 IPTV 및 이를 이용한 문자입력방법,주식회사 코아시아넥셀,5,"5. 제 4항에 있어서, 상기 리모콘 제어부는 상기 터치패널에 표시된 상기 가상 키보드에 대한 상기 문자 키 선택신호 및 상기 문자 키 선택을 해제하는 신호를 상기 리모콘 통신부를 통해 상기 TV 통신부로 전송하고, 상기 TV 제어부는 상기 TV 통신부에 상기 문자 키 선택신호가 수신되면 상기 문자 키 선택신호에 대응하는 상기 문자 키 입력 확인을 상기 키보드 이미지에 표시하고, 상기 TV 통신부에 상기 문자 키 선택 해제신호가 수신되면 상기 문자 키 선택 해제신호에 대응하는 문자를 상기 문자 입력 창에 표시하도록 상기 디스플레이를 제어하는 것을 특징으로 하는 IPTV.",322,True,False,explicit_or_regex_estimated
