application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1020040117196,1020060077680,,거절,거절,저 잡음 증폭장치,어보브반도체 주식회사,1,"1. 전원전압을 인가받는 전원전압패드; 상기 전원전압을 이용하여 입력전압신호를 증폭하여 출력전류신호를 출력하는 증폭부; 상기 입력전압신호와 출력전류신호를 분리하는 분리부; 및 상기 입력전압신호의 임피던스를 매치하는 입력 임피던스 매치부를 포함하되, 상기 입력 임피던스 매치부는, 입력 임피던스 매치용 인덕터; 복수개의 접지전압 패드와 대응되는 복수개의 본딩 패드; 및 소정의 제어신호에 의해 제어되어 상기 복수개의 본딩 패드를 선택적으로 연결하는 복수개의 스위치 를 포함하여 구성함을 특징으로 하는 저 잡음 증폭장치.",289,False,True,explicit_or_regex_estimated
1020040117196,1020060077680,,거절,거절,저 잡음 증폭장치,어보브반도체 주식회사,2,"2. 제 1항에 있어서, 상기 전원전압을 로딩하는 부하부를 더 포함하여 구성함을 특징으로 하는 저 잡음 증폭장치.",63,True,False,explicit_or_regex_estimated
1020040117196,1020060077680,,거절,거절,저 잡음 증폭장치,어보브반도체 주식회사,3,"3. 제 1항에 있어서, 상기 증폭부는 상기 입력전압신호에 의해 제어되는 스위칭소자를 구비함을 특징으로 하는 저 잡음 증폭장치.",71,True,False,explicit_or_regex_estimated
1020040117196,1020060077680,,거절,거절,저 잡음 증폭장치,어보브반도체 주식회사,4,"4. 제 3항에 있어서, 상기 스위칭소자는 엔모스 트랜지스터임을 특징으로 하는 저 잡음 증폭장치.",54,True,False,explicit_or_regex_estimated
1020040117196,1020060077680,,거절,거절,저 잡음 증폭장치,어보브반도체 주식회사,5,"5. 제 1항에 있어서, 상기 분리부는 소정 전압제어신호에 의해 제어되는 스위칭소자를 구비함을 특징으로 하는 저 잡음 증폭장치.",71,True,False,explicit_or_regex_estimated
1020040117196,1020060077680,,거절,거절,저 잡음 증폭장치,어보브반도체 주식회사,6,"6. 제 5항에 있어서, 상기 스위칭소자는 엔모스 트랜지스터임을 특징으로 하는 저 잡음 증폭장치.",54,True,False,explicit_or_regex_estimated
1020040117196,1020060077680,,거절,거절,저 잡음 증폭장치,어보브반도체 주식회사,7,"7. 제 1항에 있어서, 상기 복수개의 스위치는 상기 저 잡음 증폭장치의 동작주파수에 따라 주파수를 설정하여 입력전압의 노이즈를 필터링하는 것을 특징으로 하는 저 잡음 증폭장치.",99,True,False,explicit_or_regex_estimated
1020040117196,1020060077680,,거절,거절,저 잡음 증폭장치,어보브반도체 주식회사,7,"7. 제 1항에 있어서, 상기 복수개의 스위치는 상기 저 잡음 증폭장치의 동작주파수에 따라 주파수를 설정하여 입력전압의 노이즈를 필터링하는 것을 특징으로 하는 저 잡음 증폭장치.",99,True,False,explicit_or_regex_estimated
1020100024730,1020110105536,1011986980000,등록,등록,배터리 충전회로,어보브반도체 주식회사,1,"1. 배터리(battery)를 충전(charge) 하기 위한 배터리 연결부;상기 배터리(battery)가 충전(charge) 되도록 전기신호를 제어하는 컨트롤러(controller);상기 배터리(battery)에 충전되는 정전류(CC) 또는 정전압(CV)을 감지하고, 제어하기 위한 정전류(CC)/정전압(CV) 회로부; 상기 배터리(battery) 충전 시 요구되는 한계 전류(current limit, ILim)를 감지하기 위한 충전전류감지부; 및상기 정전류(CC)/정전압(CV) 회로부와 상기 컨트롤러(controller)는 원 칩(one chip)으로 구비하되,상기 컨트롤러(controller)의 컨트롤러 접지전압(MCU_VSS)과 상기 정전류(CC)/정전압(CV) 회로부의 정전류/정전압 접지전압(CC/CV_VSS) 또는 정전압 접지전압(CV_VSS)은 절연공정에 의해 서로 전기적으로 절연(isolate) 되는 것을 특징으로 하는 배터리 충전회로.",480,False,True,explicit_or_regex_estimated
1020100024730,1020110105536,1011986980000,등록,등록,배터리 충전회로,어보브반도체 주식회사,2,"2. 제 1항에 있어서, 상기 정전류(CC)/정전압(CV) 회로부는,충전 시 상기 정전압(CV)을 컨트롤하기 위한 충전전압 제어회로부 또는 충전 시 상기 정전류(CC)의 상태를 감지하기 위한 충전전류 제어회로부를 구비하는 것을 특징으로 하는 배터리 충전회로.",144,True,False,explicit_or_regex_estimated
