application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1020130025286,,1014034690000,등록,등록,이중 거울 방식을 이용한 웨이퍼 영상 검사 장치,(주)넥스틴,1,"1. 반도체 웨이퍼의 결함을 검사하기 위해 웨이퍼 영상을 획득하고 검사하는 웨이퍼 영상 검사 장치로서, 주기적으로 조명광을 발생시키는 조명부, 상기 조명광을 검사 대상 웨이퍼에 조사한 후 반사되는 웨이퍼 영상을 투과 및 반사시켜 얻은 두 개의 제1 분할 영상을 서로 다른 방향으로 진행시키는 빔스플리터;상기 빔스플리터를 통해 얻은 각각의 상기 제1 분할 영상을 폭방향으로 분할하여 제2 분할 영상을 이루고, 상기 제2 분할 영상이 서로 다른 방향으로 투사되도록, 서로 이격되고 반사면이 서로 다른 방향을 향하도록 설치된 이중 거울을 구비하여 이루어지는 폭분할용 미러 유닛;분할된 영상을 받아 영상 데이타 신호를 발생시키는 영상검출부를 구비하여 이루어지는 웨이퍼 영상 검사 장치.",379,False,True,explicit_or_regex_estimated
1020130025286,,1014034690000,등록,등록,이중 거울 방식을 이용한 웨이퍼 영상 검사 장치,(주)넥스틴,2,"2. 제 1 항에 있어서,상기 폭분할용 미러 유닛 다음 단계에서는 상기 이중 거울에서 반사된 제2 분할 영상을 획득하여 상하방향을 따라 영역을 분할하여 상기 영상검출부로 투사하기 위해 상기 제2 분할 영상이 입사하는 방향을 향하여 측방으로 경사진 반사면 적어도 하나가 설치되는 상하분할용 미러 유닛이 더 구비되고,상기 영상검출부는 상기 상하분할용 미러 유닛에서 상하방향으로 영역이 분할된 제3 분할 영상 각각을 검출하도록 대응하여 형성되는 단위 촬상소자를 복수 개를 구비하여 이루어지며,상기 폭분할용 미러 유닛을 이루는 상기 이중 거울에 의해 폭방향으로 분할되어 상기 영상검출부에 투입되는 영상 영역은 폭방향으로 적어도 한 검출단위만큼 이격된 영역이 되도록 상기 이중 거울이 설치되는 것을 특징으로 하는 웨이퍼 영상 검사 장치.",407,True,False,explicit_or_regex_estimated
1020130025286,,1014034690000,등록,등록,이중 거울 방식을 이용한 웨이퍼 영상 검사 장치,(주)넥스틴,3,"3. 제 1 항에 있어서,상기 이중 거울의 반사면은 3각 프리즘의 빗면에 반사층을 형성하여 이루어지는 것을 특징으로 하는 웨이퍼 영상 검사 장치.",81,True,False,explicit_or_regex_estimated
1020130025286,,1014034690000,등록,등록,이중 거울 방식을 이용한 웨이퍼 영상 검사 장치,(주)넥스틴,4,"4. 제 1 항 내지 제 3 항 중 어느 한 항에 있어서,상기 웨이퍼의 표면과 상기 빔스플리터 사이에는 상기 조명광을 상기 웨이퍼의 표면에 조사할 때 반사되는 웨이퍼 영상을 획득하여 후방으로 투사하기 위해 웨이퍼에 마주하게 설치된 렌즈부, 상기 웨이퍼를 파지하고 이동시키는 웨이퍼 이동 스테이지, 상기 웨이퍼가 상기 조명광에 노출되는 위치인 영상 검출 위치를 상기 조명광의 펄스 발생 주기와 연관시키도록 상기 웨이퍼 이동 스테이지의 이송 속도를 제어하는 신호 발생부, 복수의 단위 촬상소자를 통해 촬상된 웨이퍼 영상을 처리하여 웨이퍼 결함 여부를 검출하는 영상처리수단이 더 구비되는 것을 특징으로 하는 웨이퍼 영상 검사 장치.",350,True,False,explicit_or_regex_estimated
1020130039195,,1013794480000,등록,등록,다중 조명 장치를 이용한 웨이퍼 영상 검사 장치,(주)넥스틴,1,"1. 조명장치에서 광을 발생시켜 웨이퍼 상의 영역에 조사하고 반사된 빛에 의해 이루어지는 웨이퍼 영상을 분석하여 불량을 검출하는 웨이퍼 영상 검사 장치에 있어서,상기 조명장치는 상기 웨이퍼 상의 동일 영역에 대해 서로 다른 복수 개의 광을 서로 다른 복수 방향에서 비출 수 있도록 설치되며,상기 웨이퍼 영상을 획득하여 후방으로 투사하기 위해 웨이퍼에 마주하게 설치된 렌즈부, 상기 웨이퍼를 파지하고 이동시키는 웨이퍼 이동 스테이지, 상기 광은 펄스광이며 상기 웨이퍼가 상기 펄스광에 노출되는 위치인 영상 검출 위치를 상기 펄스광의 펄스 발생 주기와 연관시키도록 상기 웨이퍼 이동 스테이지의 이송 속도를 제어하는 신호 발생부,복수의 단위 촬상소자를 통해 촬상된 웨이퍼 영상을 처리하여 웨이퍼 결함 여부를 검출하는 영상처리수단이 구비되는 것을 특징으로 하는 웨이퍼 영상 검사 장치.",435,False,True,explicit_or_regex_estimated
1020130039195,,1013794480000,등록,등록,다중 조명 장치를 이용한 웨이퍼 영상 검사 장치,(주)넥스틴,2,"2. 제 1 항에 있어서상기 조명장치는 광원인 레이저, 상기 레이저에서 나온 광을 복수 경로로 분할하기 위한 광분할기, 분할된 광을 유도하기 위해 광케이블을 구비하여 이루어지는 것을 특징으로 하는 웨이퍼 영상 검사 장치.",123,True,False,explicit_or_regex_estimated
1020130039195,,1013794480000,등록,등록,다중 조명 장치를 이용한 웨이퍼 영상 검사 장치,(주)넥스틴,3,"3. 제 1 항 또는 제 2 항에 있어서,상기 복수 개의 광은 펄스광이며 상기 펄스광이 동시에 같은 영역을 비추도록 이루어지는 것을 특징으로 하는 웨이퍼 영상 검사 장치.",95,True,False,explicit_or_regex_estimated
1020130039195,,1013794480000,등록,등록,다중 조명 장치를 이용한 웨이퍼 영상 검사 장치,(주)넥스틴,4,"4. 제 1 항에 있어서, 상기 복수 개의 광은 순차적으로 같은 영역을 비추도록 이루어지는 것을 특징으로 하는 웨이퍼 영상 검사 장치.",75,True,False,explicit_or_regex_estimated
1020130039195,,1013794480000,등록,등록,다중 조명 장치를 이용한 웨이퍼 영상 검사 장치,(주)넥스틴,5,"5. 제 1 항에 있어서,상기 복수 개의 광은 모두가 서로 다른 파장을 가지는 광이거나 같은 파장의 코히어런트 광인 것을 특징으로 하는 웨이퍼 영상 검사 장치.",89,True,False,explicit_or_regex_estimated
1020130039195,,1013794480000,등록,등록,다중 조명 장치를 이용한 웨이퍼 영상 검사 장치,(주)넥스틴,6,"6. 제 1 항 또는 제 2 항에 있어서,상기 복수 개의 광은 상기 웨이퍼 위쪽에서 볼 때 상기 웨이퍼 상의 영역을 중심으로 중심각 120도씩 이격된 세 곳에서 조사되는 것을 특징으로 하는 웨이퍼 영상 검사 장치.",119,True,False,explicit_or_regex_estimated
