application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1020000056910,1020020025272,1003824080000,소멸,소멸,셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법,주식회사 제주반도체,1,"1. <P INDENT=""14"" ALIGN=""JUSTIFIED"">셀프-리프레쉬 제어펄스 신호를 외부 리프레쉬 명령없이 주기적으로 발생시키는 셀프-리프레쉬 제어 회로를 구비하는 메모리 집적 회로를 구동시키는 방법에 있어서, </P><P INDENT=""14"" ALIGN=""JUSTIFIED"">외부 억세스 명령신호에 응답하여 상기 셀프-리프레쉬 제어펄스 신호보다 긴 펄스 폭을 가지는 정상 억세스 제어펄스 신호를 발생시키는 단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 셀프-리프레쉬 제어펄스 신호와 정상 억세스 제어 펄스신호의 순서를 결정하는 단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 정상 억세스 제어펄스 신호가 상기 셀프-리프레쉬 제어펄스 신호보다 우선하면 억세스 제어 신호를 발생시키는 단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 억세스 제어 신호를 비활성화시키는 단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 억세스 제어 신호의 비활성화후에 리프레쉬 제어 신호를 발생시키는 단계; 및</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 리프레쉬 제어 신호를 비활성화시키는 단계를 구비하는 것을 특징으로 하는 메모리 집적 회로 구동 방법.</P><BR>",671,False,True,explicit_or_regex_estimated
1020000056910,1020020025272,1003824080000,소멸,소멸,셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법,주식회사 제주반도체,2,"2. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제1항에 있어서, 상기 억세스 제어 신호는</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">소정 펄스 폭을 가지는 것을 특징으로 하는 메모리 집적 회로 구동 방법.</P><DP TYPE=""SOFT"" N=""19""><BR>",167,True,False,explicit_or_regex_estimated
1020000056910,1020020025272,1003824080000,소멸,소멸,셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법,주식회사 제주반도체,3,"3. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제1항에 있어서, 상기 리프레쉬 제어 신호는</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">소정 펄스 폭을 가지는 것을 특징으로 하는 메모리 집적 회로 구동 방법.</P><BR>",145,True,False,explicit_or_regex_estimated
1020000056910,1020020025272,1003824080000,소멸,소멸,셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법,주식회사 제주반도체,4,"4. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제1항에 있어서, 상기 셀프-리프레쉬 제어 펄스신호와 상기 정상 억세스 제어 펄스 신호간의 중첩에 의해 따로 발생되는 글리치 신호를 억제하는 단계를 더 구비하는 것을 특징으로 하는 메모리 집적 회로 구동 방법.</P><BR>",161,True,False,explicit_or_regex_estimated
1020000056910,1020020025272,1003824080000,소멸,소멸,셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법,주식회사 제주반도체,5,"5. <P INDENT=""14"" ALIGN=""JUSTIFIED"">셀프-리프레쉬 제어펄스 신호를 외부 리프레쉬 명령없이 주기적으로 발생시키는 셀프-리프레쉬 제어 회로를 구비하는 메모리 집적 회로를 구동시키는 방법에 있어서, </P><P INDENT=""14"" ALIGN=""JUSTIFIED"">외부 억세스 명령신호에 응답하여 상기 셀프-리프레쉬 제어펄스 신호보다 긴 펄스 폭을 가지는 정상 억세스 제어펄스 신호를 발생시키는 단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 셀프-리프레쉬 제어펄스 신호와 정상 억세스 제어펄스 신호의 순서를 결정하는 단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 셀프-리프레쉬 제어펄스 신호가 상기 정상 제어펄스 신호보다 우선하면 리프레쉬 제어 신호를 발생시키는 단계;</P><DP TYPE=""SOFT"" N=""20""><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 리프레쉬 제어 신호를 비활성화시키는 단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 리프레쉬 제어 신호의 비활성화후에 억세스 제어 신호를 발생시키는 단계; 및</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 억세스 제어 신호를 비활성화시키는 단계를 구비하는 것을 특징으로 하는 메모리 집적 회로 구동 방법.</P><BR>",691,False,True,explicit_or_regex_estimated
1020000056910,1020020025272,1003824080000,소멸,소멸,셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법,주식회사 제주반도체,6,"6. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제5항에 있어서, 상기 억세스 제어 신호는</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">소정 펄스 폭을 가지는 것을 특징으로 하는 메모리 집적 회로 구동 방법.</P><BR>",144,True,False,explicit_or_regex_estimated
1020000056910,1020020025272,1003824080000,소멸,소멸,셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법,주식회사 제주반도체,7,"7. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제5항에 있어서, 상기 리프레쉬 제어 신호는</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">소정 펄스 폭을 가지는 것을 특징으로 하는 메모리 집적 회로 구동 방법.</P><BR>",145,True,False,explicit_or_regex_estimated
1020000056910,1020020025272,1003824080000,소멸,소멸,셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법,주식회사 제주반도체,8,"8. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제5항에 있어서, 상기 셀프-리프레쉬 제어 펄스신호와 상기 정상 억세스 제어 펄스 신호간의 중첩에 의해 따로 발생되는 글리치 신호를 억제하는 단계를 더 구비하는 것을 특징으로 하는 메모리 집적 회로 구동 방법.</P><BR>",161,True,False,explicit_or_regex_estimated
1020000056910,1020020025272,1003824080000,소멸,소멸,셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법,주식회사 제주반도체,9,"9. <P INDENT=""14"" ALIGN=""LEFT"">삭제</P>",37,False,True,explicit_or_regex_estimated
1020000056910,1020020025272,1003824080000,소멸,소멸,셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법,주식회사 제주반도체,10,"10. <P INDENT=""14"" ALIGN=""LEFT"">삭제</P>",38,False,True,explicit_or_regex_estimated
