application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1020080021462,,1008889780000,소멸,소멸,커스토머 트레이,(주)두산테스나,1,"1. 판상의 플레이트; 디바이스의 측면을 지지하는 가이드가 상기 플레이트에 돌출되어 상기 디바이스가 안착될 수 있는 안착부; 그리고,상기 안착부의 바닥면에 원형으로 형성되는 요입부를 포함하여 구성되되,상기 플레이트의 양면에 상기 안착부가 서로 대응되는 위치에 형성되는 것을 특징으로 하는 커스토머 트레이.",170,False,True,explicit_or_regex_estimated
1020080021462,,1008889780000,소멸,소멸,커스토머 트레이,(주)두산테스나,2,"2. 제 1항에 있어서,상기 가이드는,상기 가이드의 선단에 상기 가이드가 상기 플레이트에 대해 직교되는 가상의 선에 대해 경사진 제 1경사부; 그리고,상기 제 1경사부에 대해 상대적으로 작은 각도로 경사진 제 2경사부;를 포함하여 구성되는 커스토머 트레이.",143,True,False,explicit_or_regex_estimated
1020080021462,,1008889780000,소멸,소멸,커스토머 트레이,(주)두산테스나,4,"4. 제 1항에 있어서,상기 요입부는 상기 디바이스의 크기의 1/4크기로 형성되는 것을 특징으로 하는 커스토머 트레이.",66,True,False,explicit_or_regex_estimated
1020110053917,,1011069740000,등록,등록,여권표지,(주)두산테스나,1,"1. 겉표지(10)와, 나선형으로 배치된 안테나코일(21)의 양단이 IC칩(22)의 양측 단자 영역에 접점으로 연결되는 송수신부(20)와, IC칩(22)이 위치되는 구멍(41)이 뚫려진 속표지(40)와, 속표지(40)의 상면에 위치되는 인쇄지(50)와, 상기 겉표지(10)와 속표지(40)는 폴리우레탄접착제(30)로 접착되어 라미네이팅되며, 겉표지(10)와 속표지(40) 사이에 안테나코일(21)과 IC칩(22)이 함께 접착 고정되고, 인쇄지(50)는 속표지(40)의 상면에 수용성 핫멜트접착제(50a)로 접착되며, 속표지(40)는 양측으로 분할되어 중심선 부위에 접힘부(43)가 형성된 여권표지에 있어서,상기 겉표지(10)는 면직물 외부에 코팅이 이루어진 면코팅지로 구성되고,상기 속표지(40)는 미세기공들이 무수히 형성되어 접착성이 용이한 테슬린(teslin)합성지로 구성되며,상기 폴리우레탄접착제(30)는 우레탄 프리폴리머(prepolymer) 57∼64중량％, 유기 폴리이소시아네이트 23∼27중량％, 변성 에폭시수지 12∼16중량％, 퓸드실리카(fumed silica) 증점제 0.8∼1.2중량％의 혼합물로 구성된 열경화성습기반응형 핫멜트접착제로 구성되고, 1액형과 2액형으로 구성된 용액형 접착제의 단점을 보완한 고형 접착제인 것을 특징으로 하는 여권표지.",653,False,True,explicit_or_regex_estimated
1020110053922,,1011007000000,등록,등록,생체인식여권을 이용한 출입국 관리시스템,(주)두산테스나,1,"1. 여권의 IC칩으로부터 데이터를 읽어드리는 여권리드부(20), 여권리드부(20)에서 읽어드린 데이터에 생체데이터를 추출하고 전송하는 생체데이터추출부(30), 인증결과를 디스플레이하는 디스플레이부(40)로 이루어진 입출력서버(10)와, 생체의 각 부분을 인식하는 지문인식부(61), 망막인식부(62), 홍채인식부(63), 얼굴인식부(64), 음성인식부(65) 및 정맥인식부(66)와 사용 가능한 생체인식인가 검증하는 생체인식검증부(67), 생체인식데이터의 노이즈 등을 제거하는 생체인식필터링부(68) 및 생체데이터를 표준화시키는 생체인식표준화부(69)로 이루어진 생체인식부(60), 생체인식부(60)에서 인식한 생체의 특징을 추출하는 생체특징추출부(70), 생체데이터추출부(30)에 추출한 생체데이터와 생체특징추출부(70)에서 추출한 생체데이터를 비교 판단하고 전송하는 비교판단부(80)로 이루어진 인증서버(50)로 이루어진 생체인식여권을 이용한 출입국 관리시스템에 있어서,상기 입출력서버(10)와 상기 인증서버(50)간에 전송되는 데이터를 암호화시키는 보안채널부(90)로 이루어짐을 특징으로 하는 생체인식여권을 이용한 출입국 관리시스템.",582,False,True,explicit_or_regex_estimated
1020120002852,,1011828190000,등록,등록,전자여권용 인레이시트의 가공장치,(주)두산테스나,1,"1. 작업대(1) 양측에 장착된 스프로킷(11)들 사이에는 체인(12)이 결합되어 회전되고, 체인(12)의 내측에는 브래킷(13)들이 고정되어 체인(12)과 함께 회전되며, 양측 브래킷(13)들 사이에는 시트(3)가 놓여져 이송되는 이송부(10)와;상기 작업대(1)의 전방에 장착된 제1실린더(21)의 로드에는 제1펀치(21a)가 고정되고, 제1펀치(21a)는 하부에 장착된 제1다이스(22)의 제1성형공(22a)을 출입하면서 시트(3)에 가이드공(3a)을 천공(punching)하는 제1펀칭부(20)와;상기 제1펀칭부(20)의 후방에 장착된 제2실린더(31)의 로드에는 작동판(32)이 고정되어 승강되고, 작동판(32)의 저면에는 제2,3펀치(32a)(32b)들이 연속 장착되어 하부에 장착된 제2다이스(33)의 제2,3성형공(33a)(33b)들을 각각 출입하면서 시트(3)에 접힘용 힌지공(3b)과 칩공(3c)을 천공(punching)하는 제2펀칭부(30)와;상기 제2펀칭부(30)의 후방에 장착된 제3실린더(41)의 로드에는 가압봉(42)이 고정되어 승강되고, 가압봉(42)은 칩공(3c)의 둘레를 눌러주어 IC칩(4)이 안착(安着)되는 안내홈(3d)을 형성하는 가압부(40)와;상기 가압부(40)의 후방에 장착된 제4실린더(51)의 로드에는 칼날(52)이 고정되어 시트(3)를 절단하는 절단부(50)와;상기 절단부(50)의 후방에서 승강되는 받침대(61)의 하부에는 ""X""형 링크(62)가 장착되고, 링크(62)에 고정된 너트(62a)에는 볼스크류(62b)가 나사 결합되어 모터(63)에 의하여 볼스크류(62b)가 회전되면 링크(62)의 접힘 및 펼침 작동에 의하여 시트(3)들이 적재된 받침대(61)가 승강되는 적재부(60)와;상기 이송부(10), 제1펀칭부(20), 제2펀칭부(30), 가압부(40), 절단부(50), 적재부(60)는 컨트롤부의 제어에 의하여 자동·연속 작동되도록 한 것을 특징으로 하는 전자여권용 인레이시트의 가공장치.",978,False,True,explicit_or_regex_estimated
1020120002852,,1011828190000,등록,등록,전자여권용 인레이시트의 가공장치,(주)두산테스나,2,"2. 제 1항에 있어서,상기 브래킷(13)에는 훅(14)이 수직으로 관통 결합되어 스프링(15)으로 탄력 지지되고, 훅(14)의 상단(14a)이 시트(3)를 눌러 브래킷(13)에 시트(3)를 고정시킬 수 있도록 구성되며, 훅(14)의 하단(14b)은 브래킷(13) 하부로 돌출되어 스프로킷(11) 내측의 드럼(11b)과 접촉되면서 훅(14)이 승강되는 것을 특징으로 하는 전자여권용 인레이시트의 가공장치.",226,True,False,explicit_or_regex_estimated
1020120002852,,1011828190000,등록,등록,전자여권용 인레이시트의 가공장치,(주)두산테스나,3,"3. 제 1항에 있어서,상기 절단부(50)의 후방에는 제5실린더(71)의 작동으로 이동되는 이동대(70)가 장착되어 절단된 시트(3)를 후방으로 이송시키고, 이동대(70)의 상부에는 에어(air) 흡착구(72)들이 장착되어 제6실린더(73)에 의하여 승강되면서 절단된 시트(3)를 흡착하여 집어 올리며, 가이드레일(74)을 따라 이동되어 시트(3)를 적재부(60)의 받침대(61) 상부로 이송하여 내려놓을 수 있도록 구성한 것을 특징으로 하는 전자여권용 인레이시트의 가공장치.",266,True,False,explicit_or_regex_estimated
1020140021352,1020150100047,1015542690000,소멸,소멸,트랜스폰더 칩 및 이에 대응되는 인레이 기판에 안테나 연결시 생성되는 용접 탄화물의 제거방법,(주)두산테스나,1,1. 무선 주파수 인레이를 제조하는 과정에서 인레이 기판의 트랜스 폰더 영역 상에 칩 또는 칩 모듈을 기판 상에 배치하는 단계;기판의 둘레를 따라 안테나 와이어를 겹치지 않도록 배선하면서 권선을 형성하는 단계;권선을 형성한 안테나 와이어의 양 끝단을 칩 또는 칩 모듈의 단자 부위에 각각 부착하는 단계;상기 안테나 와이어의 양 끝단과 부착된 칩 또는 칩 모듈 단자 부분을 전기적으로 연결하는 용접 단계; 및전기적으로 연결된 용접 부위에서 발생된 탄화물을 제거하기 위해 그라인더 수단을 용접 부위에 접촉시켜 탄화물을 제거하는 단계를 포함하는 것을 특징으로 하는 트랜스폰더 칩 및 이에 대응되는 인레이 기판에 안테나 연결시 생성되는 용접 탄화물의 제거방법.,365,False,True,explicit_or_regex_estimated
1020140021352,1020150100047,1015542690000,소멸,소멸,트랜스폰더 칩 및 이에 대응되는 인레이 기판에 안테나 연결시 생성되는 용접 탄화물의 제거방법,(주)두산테스나,2,"2. 제1항에 있어서,그라인더 수단을 접촉시켜 탄화물을 제거한 후 다시 브러쉬를 용접 부위에 접촉시켜 용접 부위에 남아 있는 탄화물을 2차 제거하는 단계를 더 포함하는 것을 특징으로 하는 트랜스폰더 칩 및 이에 대응되는 인레이 기판에 안테나 연결시 생성되는 용접 탄화물의 제거방법.",157,True,False,explicit_or_regex_estimated
