universe_rank,company_dir,company_name,ticker6,market,peer_group,semiconductor_tag,is_focal_5,market_data_available,data_quality_status,data_quality_status_kr,manual_review_priority,manual_review_priority_kr,valuation_proxy_score,valuation_proxy_label,valuation_proxy_label_kr,valuation_pred_label,valuation_confidence,valuation_confidence_bucket,valuation_confidence_bucket_kr,credit_risk_score,credit_proxy_label,credit_proxy_label_kr,credit_pred_label,credit_confidence,credit_confidence_bucket,credit_confidence_bucket_kr,credit_anomaly_score,credit_anomaly_flag_top15pct,auditor_requires_human_review,source_type,source_note,focus_reason,is_target
97,sti,에스티아이,039440,KOSDAQ,장비,장비,True,True,OK,데이터 사용 가능,LOW,LOW,0.4549999999999999,FAIR,FAIR,FAIR,0.53270990340385,MEDIUM,MEDIUM,0.0,LOW_RISK,저위험,LOW_RISK,0.911990788525375,HIGH,HIGH,0.012946139293246964,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,TARGET,True
99,,엔투텍,227950,KOSDAQ,장비,장비,False,True,OK,데이터 사용 가능,LOW,LOW,0.8128666666666667,ATTRACTIVE,가치 매력,ATTRACTIVE,0.8347222629406851,HIGH,HIGH,0.2142857142857142,MEDIUM_RISK,중위험,MEDIUM_RISK,0.5142933547274794,MEDIUM,MEDIUM,0.21193857896314997,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
88,,비아트론,141000,KOSDAQ,장비,장비,False,True,OK,데이터 사용 가능,LOW,LOW,0.7105333333333335,ATTRACTIVE,가치 매력,ATTRACTIVE,0.934708213344448,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9411184099481913,HIGH,HIGH,0.11715633071246634,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
112,,케이씨,029460,KOSPI,장비,장비,False,True,OK,데이터 사용 가능,LOW,LOW,0.7065333333333332,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9151708177015135,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.883115363364621,HIGH,HIGH,0.07036651203602409,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
81,,더코디,224060,KOSDAQ,장비,장비,False,True,OK,데이터 사용 가능,LOW,LOW,0.6908666666666667,FAIR,FAIR,FAIR,0.6613330626239345,MEDIUM,MEDIUM,0.8571428571428571,HIGH_RISK,고위험,HIGH_RISK,0.5690179270143122,MEDIUM,MEDIUM,0.3728446721783581,True,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
76,,KPX케미칼,025000,KOSPI,장비,장비,False,True,OK,데이터 사용 가능,LOW,LOW,0.6876,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9091955435785402,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9222174142026104,HIGH,HIGH,0.13901835477996793,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
91,,성도이엔지,037350,KOSDAQ,장비,장비,False,True,OK,데이터 사용 가능,LOW,LOW,0.6874666666666667,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9250659167833418,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.7848826000183735,HIGH,HIGH,0.02320770424808947,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
105,,유니퀘스트,077500,KOSPI,장비,장비,False,True,OK,데이터 사용 가능,LOW,LOW,0.6784,ATTRACTIVE,가치 매력,ATTRACTIVE,0.8881603628406226,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.8138676885332061,HIGH,HIGH,0.042139285734196785,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
123,,한솔아이원스,114810,KOSDAQ,장비,장비,False,True,OK,데이터 사용 가능,LOW,LOW,0.6648,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9031428820161691,HIGH,HIGH,0.1428571428571428,LOW_RISK,저위험,LOW_RISK,0.8626763542915618,HIGH,HIGH,0.040357003305963514,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
74,gst,GST,083450,KOSDAQ,장비,장비,True,True,OK,데이터 사용 가능,LOW,LOW,0.6474666666666666,ATTRACTIVE,가치 매력,ATTRACTIVE,0.900491542853433,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9914514013000448,HIGH,HIGH,0.030956097033645616,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
