company_slug,company_name,source,sheet,excel_row,category,item_name,metric_name,metric_value,metric_unit,metric_value_source,numeric_signal_count,keyword_signal_count,content_present,content_char_count,quantifiable_plan,major_source_plan,middle_source_plan
nepes,네패스,tech_template_company_sheet,네패스,2,대표 기술,핵심 기술 키워드,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",25.0,회,"료까지 포트폴리오를 확장
사업보고서 텍스트 기준 기술 키워드 등장 빈도는 WLP 25회, FOWLP 7회, 리드탭 11회로 확인되어, 핵심 기술 키워드 합계는 43회 수준",6,17,1,225,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)","사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허"
nepes,네패스,tech_template_company_sheet,네패스,3,대표 기술,적용 방식,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",2.0,number,"웨이퍼 단위를 넘어 Panel Level Packaging(FOPLP)으로 확장
2차전지 리드탭과 EMI Shielding 소재는 배터리 부품 및 전자부품 소재 영역까지 확대
단순한",1,16,1,226,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)","사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허"
nepes,네패스,tech_template_company_sheet,네패스,4,대표 기술,핵심 성능 요소,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",7.0,μm,"7μm 이하 micro bump pitch 구현, 박형·소형·고집적 패키징, EMI 차폐 대응, 고방열·",1,10,1,194,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)","사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허"
nepes,네패스,tech_template_company_sheet,네패스,5,핵심 제품/서비스,제품명/서비스명,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",2.0,number,"WLP Bumping, Test, 2차전지 리드탭이며, 보완 제품군으로 전자재료/전구체
연결 기준 매출 구조상 이 세 제품군이 핵심 매",1,9,1,115,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수","사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드"
nepes,네패스,tech_template_company_sheet,네패스,6,핵심 제품/서비스,적용 기술,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",81.0,chars,엑셀 내용 글자 수,0,11,1,81,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수","사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드"
nepes,네패스,tech_template_company_sheet,네패스,7,핵심 제품/서비스,주요 고객군,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",5.0,number,"rable, Note PC, TV & Monitor, EV & Mobility, 5G Network, HPC, Space, Healthcare, 그리고 2차전지 공급망
특정 고객사명",2,1,1,160,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수","사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드"
nepes,네패스,tech_template_company_sheet,네패스,8,고객 구매 이유,고객 효익,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",61.0,chars,엑셀 내용 글자 수,0,3,1,61,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수","1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급"
nepes,네패스,tech_template_company_sheet,네패스,9,고객 구매 이유,경쟁 제품 대비 장점,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",7.0,μm,"7μm 이하 미세 범프 구현, Panel Level 기반 원가 절감 가능성, 리드탭 분야 국내 대체 공급",2,1,1,105,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수","1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급"
nepes,네패스,tech_template_company_sheet,네패스,10,고객 구매 이유,실제 적용 사례,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",2.0,number,"t Phone, Note PC, TV/Monitor, EV & Mobility, 2차전지 리드탭",1,1,1,91,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수","1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급"
nepes,네패스,tech_template_company_sheet,네패스,11,경쟁 우위 요소/대체가능성,등록 특허,"등록 특허 수, 인증 수, 주요 고객 승인 수, 고객 전환 기간, 레퍼런스 건수",5.23,억원,"한 건수는 공시 본문상 직접 확인되지는 x
감사보고서 기준 산업재산권 장부가 약 5.23억원(522,636천원)이 확인되어, 일정 수준의 지식재산 축적이 존재함",2,1,1,98,"등록 특허 수, 인증 수, 주요 고객 승인 수, 고객 전환 기간, 레퍼런스 건수",사업보고서 / 특허 / 기사,"사업보고서: 시장 경쟁상황 / 진입장벽 / 기술 경쟁력 / 주요 원재료·공정 우위 / 위험요인 / 신규 경쟁사 언급
특허: 등록특허 수 / 핵심 특허 존속기간 / 청구항 범위 / 회피설계 난이도 / 해외 등록 여부
기사: 경쟁사 비교 기사 / 국산화·대체재 기사 / 고객사 공급 확정 기사 / 업계 평가 / 가격·수율 경쟁 기사"
