application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1020050095654,,1006984050000,소멸,소멸,나선 구조형 가열유닛과 이를 이용한 히팅장치,주식회사 유진테크,1,"1. 열선(120)에 의해 발생한 열을 가열대상물질에 전달하기 위한 나선 구조형 가열유닛(100)에 있어서,상기 가열유닛(100)은 원통형상의 외측에 나선형상으로 형성되어 상기 가열대상물질의 유동방향을 설정하는 가이드(111)와 상기 가이드(111)사이에 형성되어 상기 가열대상물질이 유동하는 유동면(112)으로 되는 열전달부(110)와,상기 열전달부(110)를 수용하기 위한 것으로서 상기 열전달부(110)가 내측에 설치되는 원통형상의 본체(131)와 상기 본체(131)의 일측에 설치되어 가열대상물질을 도입하기 위한 도입부(132)와 상기 도입부(132)의 반대측에 설치되어 가열대상물질을 배출하기 위한 배출부(133)로 되는 튜브(130)와,상기 튜브(130)의 외측에 나선형상으로 설치되는 열선(120)으로 구성되는 것을 특징으로 하는 나선 구조형 가열유닛.",428,False,True,explicit_or_regex_estimated
1020050095654,,1006984050000,소멸,소멸,나선 구조형 가열유닛과 이를 이용한 히팅장치,주식회사 유진테크,2,"2. 제1항에 있어서,상기 유동면(112)는 ""v""형상인 것을 특징으로 하는 나선 구조형 가열유닛.",55,True,False,explicit_or_regex_estimated
1020050095654,,1006984050000,소멸,소멸,나선 구조형 가열유닛과 이를 이용한 히팅장치,주식회사 유진테크,3,"3. 제1항에 있어서,상기 유동면(112)는 반원 형상인 것을 특징으로 하는 나선 구조형 가열유닛.",55,True,False,explicit_or_regex_estimated
1020050095654,,1006984050000,소멸,소멸,나선 구조형 가열유닛과 이를 이용한 히팅장치,주식회사 유진테크,4,"4. 제1항에 있어서,상기 유동면(112)는 평면 형상인 것을 특징으로 하는 나선 구조형 가열유닛.",55,True,False,explicit_or_regex_estimated
1020050095654,,1006984050000,소멸,소멸,나선 구조형 가열유닛과 이를 이용한 히팅장치,주식회사 유진테크,5,"5. 제1항에 있어서,상기 튜브(130)의 도입부(132) 및 배출부(133)는 가열대상물질의 도입 및 배출을 위한 원통형상의 도입홀(132a)과 배출홀(133a)이 각각 형성되는 한편, 상기 도입홀(132a)과 배출홀(133a)의 주위에는 단열 공간을 형성하기 위해 상기 도입홀(132a) 및 배출홀(133a)와 동심의 원통형상을 가지는 단열부(132b, 133b)가 각각 형성되는 것을 특징으로 하는 나선 구조형 가열유닛.",238,True,False,explicit_or_regex_estimated
1020050095654,,1006984050000,소멸,소멸,나선 구조형 가열유닛과 이를 이용한 히팅장치,주식회사 유진테크,6,"6. 나선 구조형 가열유닛을 이용한 히팅장치에 있어서,원통형상의 외측에 나선형상으로 형성되어 상기 가열대상물질의 유동방향을 설정하는 가이드(111)와 상기 가이드(111)사이에 형성되어 상기 가열대상물질이 유동하는 유동면(112)으로 되는 열전달부(110)와, 상기 열전달부(110)를 수용하기 위한 것으로서 상기 열전달부(110)가 내측에 설치되는 원통형상의 본체(131)와 상기 본체(131)의 일측에 설치되어 가열대상물질을 도입하기 위한 도입부(132)와 상기 도입부(132)의 반대측에 설치되어 가열대상물질을 배출하기 위한 배출부(133)로 되는 튜브(130)와, 상기 튜브(130)의 외측에 나선형상으로 설치되는 열선(120)로 이루어지는 가열유닛(100);상기 가열유닛(100)을 수용하기 위하여 양 측에 상기 튜브(130)의 도입부(132)와 배출부(133)의 일부가 외부에 돌출되게 하는 중공형의 본체(210)와 상기 본체(210)의 두께부에 설치되는 냉각수 튜브(220)와 상기 본체(210)와 튜브(130)와의 공간에 설치되어 열전달을 차단하는 단열재(230)로 되는 수용부(200);상기 튜브(130)에 접촉되어 온도를 제어하는 제어부(300); 및상기 본체(210)에 접속되어 열선(120)에 전원을 공급하기 위한 전력공급부(400)를 포함하는 나선 구조형 가열유닛을 이용한 히팅장치.",675,False,True,explicit_or_regex_estimated
1020050095654,,1006984050000,소멸,소멸,나선 구조형 가열유닛과 이를 이용한 히팅장치,주식회사 유진테크,7,"7. 제6항에 있어서,상기 가열대상물질은 화학기상증착공정에 사용되는 반응가스인 것을 특징으로 하는 나선 구조형 가열유닛을 이용한 히팅장치.",77,True,False,explicit_or_regex_estimated
1020050095654,,1006984050000,소멸,소멸,나선 구조형 가열유닛과 이를 이용한 히팅장치,주식회사 유진테크,8,"8. 제6항에 있어서,상기 수용부(200)의 본체(210)는 원통형상인 것을 특징으로 하는 나선 구조형 가열유닛을 이용한 히팅장치.",73,True,False,explicit_or_regex_estimated
1020050095654,,1006984050000,소멸,소멸,나선 구조형 가열유닛과 이를 이용한 히팅장치,주식회사 유진테크,9,9. 제6항에 있어서상기 수용부(200)의 본체(210)는 사각형 단면인 것을 특징으로 하는 나선 구조형 가열유닛을 이용한 히팅장치.,74,True,False,explicit_or_regex_estimated
1020050095654,,1006984050000,소멸,소멸,나선 구조형 가열유닛과 이를 이용한 히팅장치,주식회사 유진테크,10,10. 제1항 내지 제5항 중 어느 하나의 항에 있어서상기 튜브(130)와 열전달부(110)의 재질은 석영인 것을 특징으로 하는 나선 구조형 가열유닛.,84,True,False,explicit_or_regex_estimated
1020100020432,1020110101437,1011670860000,등록,등록,전동 파워 스티어링 장치용 메인샤프트 제조방법,유진테크주식회사,1,"1. 볼스크루(18)와 래크치(16)를 각각 형성하는 메인샤프트(20)를 내부에 장착한 기어박스(12)와, 상기 래크치(16)에 치차 결합하는 피니언(10)을 하단에 결합하면서 중간에는 핸들(2)의 회전력을 검출하는 토오크센서(6)를 장착한 스티어링칼럼(4)과, 상기 볼스크루(18)에 너트스크루(22)를 결합하면서 벨트(26)로 연결되는 모터(28),로 된 전동파워 스티어링 장치용 메인샤프트 제조방법에 있어서, 상기 메인샤프트(20)는 제1,2샤프트(34,36)로 나누어 구성한 다음, 상기 제1샤프트(34)에는 래크치(16)를 가공하고, 상기 제2샤프트(36)에는 볼스크루(18)를 가공한 다음, 상기 제1,2샤프트(34,36)의 끝단부를 상호 마주 접하게 한 후 마찰용접기로 마찰용접시켜서 메인샤프트(20)로 만드는 것을 특징으로 한 전동 파워 스티어링 장치용 메인샤프트 제조방법.",441,False,True,explicit_or_regex_estimated
1020100020432,1020110101437,1011670860000,등록,등록,전동 파워 스티어링 장치용 메인샤프트 제조방법,유진테크주식회사,2,"2. 볼스크루(118)와 래크치(116)를 각각 형성하는 메인샤프트(120)를 내부에 장착한 기어박스(12)와, 상기 래크치(116)에 치차 결합하는 피니언(10)을 하단에 결합하면서 중간에는 핸들(2)의 회전력을 검출하는 토오크센서(6)를 장착한 스티어링칼럼(4)과, 상기 볼스크루(118)에 너트스크루(22)를 결합하면서 벨트(26)로 연결되는 모터(28),로 된 전동파워 스티어링 장치용 메인샤프트 제조방법에 있어서, 상기 메인샤프트(120)는 제1,2샤프트(134,136)로 나누어 구성한 다음, 상기 제1샤프트(134)에는 래크치(116)와 돌출부(124)를 형성하고, 상기 제2샤프트(136)에는 볼스크루(118)와 홈(126)을 형성한 다음, 상기 홈(126)에 돌출부(124)를 삽입하여 연결하면서 핀(128)을 수직으로 관통시켜 결합함으로써 메인샤프트(120)로 만드는 것을 특징으로 한 전동 파워 스티어링 장치용 메인샤프트 제조방법.",476,False,True,explicit_or_regex_estimated
1020120071851,1020120090894,1012810850000,등록,등록,3차원 구조의 메모리 소자를 제조하는 장치,주식회사 유진테크,1,"1. 기판에 대한 공정이 이루어지는 챔버;상기 챔버 내에 설치되어 상기 기판이 놓여지며, 승강에 의해 상기 기판이 상기 챔버의 내부로 출입하는 해제위치 및 상기 기판에 대한 공정이 이루어지는 공정위치로 전환되는 기판지지대; 및상기 기판지지대가 상기 해제위치에 위치할 때 상기 기판의 상부에 배치되며, 상기 기판지지대가 상기 공정위치로 전환될 때 상기 기판지지대의 상부에 놓여진 상기 기판의 에지부와 접촉하여 상기 기판의 에지부를 가압하는 가압면을 가지는 에지링을 포함하며,상기 에지링은,상기 가압면을 가지는 가압부;상기 가압부로부터 상기 기판의 반경방향 외측으로 연장되며, 상기 가압면 보다 높게 위치하는 지지부를 구비하는, 3차원 구조의 메모리 소자 제조장치.",370,False,True,explicit_or_regex_estimated
1020120071851,1020120090894,1012810850000,등록,등록,3차원 구조의 메모리 소자를 제조하는 장치,주식회사 유진테크,2,"2. 제1항에 있어서,상기 기판의 에지부는 상기 기판의 에지로부터 0.5 ㎜ 내지 3 ㎜ 내측에 해당하는 것을 특징으로 하는 3차원 구조의 메모리 소자 제조장치.",90,True,False,explicit_or_regex_estimated
1020120071851,1020120090894,1012810850000,등록,등록,3차원 구조의 메모리 소자를 제조하는 장치,주식회사 유진테크,3,"3. 제1항 또는 제2항에 있어서,상기 에지링은 세라믹 재질인 것을 특징으로 하는 3차원 구조의 메모리 소자 제조장치.",66,True,False,explicit_or_regex_estimated
1020120071851,1020120090894,1012810850000,등록,등록,3차원 구조의 메모리 소자를 제조하는 장치,주식회사 유진테크,4,"4. 제1항에 있어서,상기 기판지지대는 상기 기판의 외측에 위치하는 링 형상의 에지부를 가져 상기 지지부는 상기 기판지지대의 에지부 상부에 위치하며,상기 에지링은,상기 지지부로부터 상기 챔버의 측벽을 향해 연장되며, 상기 기판지지대가 해제위치에 있을 때 상기 챔버의 측벽에 설치된 고정돌기의 상면에 놓여지는 수평지지부; 및상기 지지부로부터 하부를 향해 연장되며, 상기 기판지지대가 해제위치에 있을 때 상기 챔버의 측벽에 설치된 고정돌기의 측면과 접하는 수직지지부를 구비하는 것을 특징으로 하는 3차원 구조의 메모리 소자 제조장치.",296,True,False,explicit_or_regex_estimated
1020150139054,,1016134260000,등록,등록,이차전지 전극단자용 표면처리 장치,주식회사 유진테크놀로지,1,"1. 가공할 금속 기재를 풀어 공급하는 언와인더(unwinder);상기 언와인더와 일정 간격을 두고 설치되어 가공된 금속 기재를 되감는 리와인더(rewinder);상기 언와인더에서 연속으로 공급되는 금속 기재의 표면에 묻은 오염물을 초음파로 제거하는 디그리징(degreasing)부;상기 디그리징부를 거쳐 공급되는 금속 기재의 표면에 묻은 오염물을 전해에 의해 발생하는 가스로 파괴하여 제거하는 일렉트롤리틱 디그리징(electrolytic degreasing)부;상기 일렉트롤리틱 디그리징부를 거쳐 공급되는 금속 기재의 표면을 부식시켜 유지막 및 산화막을 제거하는 에칭(etching)부;상기 에칭부를 거쳐 공급되는 금속 기재의 표면에 니켈층을 입히는 플레이팅(plating)부;상기 플레이팅부를 거쳐 공급되는 금속 기재의 표면에 피막을 생성시키는 논크로메이팅(nonchromating)부;상기 논크로메이팅부를 거쳐 공급되는 금속 기재의 표면에 물기를 고압의 공기로 제거하는 에어 나이프(air knife);상기 에어 나이프를 거쳐 공급되는 금속 기재의 표면에 수분을 완전히 제거하는 드라이어(dryer);상기 드라이어를 거쳐 공급되는 금속 기재를 일정 속도 및 장력으로 끌어당기는 피딩(feeding)부; 상기 디그리징부와 일렉트롤리틱 디그리징부의 사이, 상기 일렉트롤리틱 디그리징부와 에칭부의 사이, 상기 에칭부와 플레이팅부의 사이, 상기 플레이팅부와 논크로메이팅부의 사이에 각각 설치되어 금속 기재를 수세하는 린싱(rinsing)부; 및상기 에칭부와 상기 플레이팅부 사이에 상기 에칭부를 거쳐 공급되는 금속 기재의 표면에 도금 밀착성을 높이기 위해 니켈을 전착시키는 스트라이크 플레이팅(strike plating)부;를 포함하는 이차전지 전극단자용 표면처리 장치.",878,False,True,explicit_or_regex_estimated
