application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1020000055023,1020020022309,,거절,거절,질산제2세륨암모늄의 제조방법,솔브레인홀딩스 주식회사,1,"1. <P INDENT=""14"" ALIGN=""JUSTIFIED""> 산화세륨, 산화세륨수화물 또는 수산화세륨을 질산용해와 가수분해에 의한 정제공정을 거쳐 얻어진 가수분해케이크인 수산화질산세륨〔Ce(OH)x(NO<SB>3</SB>)y〕을 다시 질산용해 한 후 이 용해액에 질산암모늄을 첨가한 다음 결정화 공정을 수행하여 질산제2세륨암모늄을 제조하는 질산제2세륨암모늄의 제조방법.</p>",213,False,True,explicit_or_regex_estimated
1020000055023,1020020022309,,거절,거절,질산제2세륨암모늄의 제조방법,솔브레인홀딩스 주식회사,2,"2. <P INDENT=""14"" ALIGN=""JUSTIFIED""> 청구항 1에 있어서, 수산화세륨등의 원료를 정제하기 위해 가수분해법을 적용하는 질산제2세륨암모늄의 제조방법.</p>",101,True,False,explicit_or_regex_estimated
1020010018352,1020020078582,,거절,거절,투명도전막의 선택적 에칭액 조성물,솔브레인홀딩스 주식회사,1,"1. <P INDENT=""14"" ALIGN=""JUSTIFIED"">박막트랜지스터 액정표시장치 및 플라즈마 디스플레이 패널표시장치를 포함한 미세패턴용 ITO전극을 형성시키기 위한 에칭액으로서, 염산 + 초산 + 물로 이루어 지고 몰리브덴 또는 몰리브덴·텅스텐합금에 대한 에칭현상이 없는 것을 특징으로 하는 투명도전막의 선택적 에칭액 조성물.</p>",192,False,True,explicit_or_regex_estimated
1020010018352,1020020078582,,거절,거절,투명도전막의 선택적 에칭액 조성물,솔브레인홀딩스 주식회사,2,"2. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제 1 항에 있어서, 염산과 초산은 각각 0.5-10 wt% 의 조성비를 갖는 것을 특징으로 하는 투명도전막의 선택적 에칭액 조성물.</p>",114,True,False,explicit_or_regex_estimated
1020040003813,1020050076024,,거절,거절,아민-알란계 화합물 보관 용기 및 그 제조방법,솔브레인홀딩스 주식회사,1,"1. 아민-알란계 화합물을 보관하는 용기로서, 상기 아민-알란계 화합물과 직접 접촉되는 부분은 테프론계 물질로 구성되는 것을 특징으로 하는 보관 용기.",84,False,True,explicit_or_regex_estimated
1020040003813,1020050076024,,거절,거절,아민-알란계 화합물 보관 용기 및 그 제조방법,솔브레인홀딩스 주식회사,2,"2. 제 1 항에 있어서, 상기 용기는, 외부 용기; 및 상기 외부 용기 내표면에 피복된 테프론계 물질층을 포함하는 것을 특징으로 하는 보관 용기.",82,True,False,explicit_or_regex_estimated
1020040003813,1020050076024,,거절,거절,아민-알란계 화합물 보관 용기 및 그 제조방법,솔브레인홀딩스 주식회사,3,"3. 제 1 항에 있어서, 상기 용기는 테프론계 물질로 형성되는 것을 특징으로 하는 보관 용기.",53,True,False,explicit_or_regex_estimated
1020040003813,1020050076024,,거절,거절,아민-알란계 화합물 보관 용기 및 그 제조방법,솔브레인홀딩스 주식회사,4,"4. 제 2 항 또는 제 3 항에 있어서, 상기 테프론계 물질은 PTFE(polytetrafluoroethylene), PFA(perfluoro alkoxy polymer), FEP(fluorinated ethylene prophylene), ECTFE(ethylenechlorotrifluoroethylene copolymer), ETFE(ethylenetetrafluoroethylene) 또는 PVDF(polyvinylidene fluoride)인 것을 특징으로 하는 보관 용기.",271,True,False,explicit_or_regex_estimated
1020040003813,1020050076024,,거절,거절,아민-알란계 화합물 보관 용기 및 그 제조방법,솔브레인홀딩스 주식회사,5,"5. 제 2 항에 있어서, 상기 외부 용기는 스테인레스 강으로 구성되는 것을 특징으로 하는 보관 용기.",57,True,False,explicit_or_regex_estimated
1020040003813,1020050076024,,거절,거절,아민-알란계 화합물 보관 용기 및 그 제조방법,솔브레인홀딩스 주식회사,6,"6. 제 1 항에 있어서, 상기 아민-알란계 화합물은 하기의 화학 구조식을 갖는 것을 특징으로 하는 보관 용기. H3Al:Ln 여기서, 상기 L은 아민계열 유기 화합물이고, n은 1 또는 2의 정수이다.",113,True,False,explicit_or_regex_estimated
1020040003813,1020050076024,,거절,거절,아민-알란계 화합물 보관 용기 및 그 제조방법,솔브레인홀딩스 주식회사,7,"7. 제 6 항에 있어서, 상기 L은 하기의 화학 구조식을 갖는 선형 아민(linear amine) 이고, 상기 R은 수소(H) 또는 탄소(C)수가 1 내지 4범위에서 같거나 다른 알킬기이며, 상기 R1,R2,R3은 수소(H) 또는 탄소(C)수가 1 내지 2 범위에서 같거나 다른 알킬기인 것을 특징으로 하는 보관 용기.",179,True,False,explicit_or_regex_estimated
1020040003813,1020050076024,,거절,거절,아민-알란계 화합물 보관 용기 및 그 제조방법,솔브레인홀딩스 주식회사,8,"8. 제 6 항에 있어서, 상기 L은 하기의 화학 구조식을 갖는 헤테로사이클릭 아민(heterocyclic amine)이며, 상기 화학 구조식에서 R은 수소(H) 또는 탄소(C)수가 1 내지 4인 알킬기이고, 상기 R1,R2은 수소(H) 및 탄소(C)수가 1 내지 2의 범위에서 같거나 다른 알킬기이고, 상기 m은 2 내지 8 사이의 정수인 것을 특징으로 하는 보관 용기.",208,True,False,explicit_or_regex_estimated
1020040003813,1020050076024,,거절,거절,아민-알란계 화합물 보관 용기 및 그 제조방법,솔브레인홀딩스 주식회사,9,"9. 제 6 항에 있어서, 상기 L은 하기의 화학 구조식을 갖는 알킬피롤리딘이고, 상기 R은 메틸 또는 에틸기이고, 상기 R1,R2,R3,R4,R5,R6 ,R7및 R8은 각각 독립적인 수소 또는 메틸기인 것을 특징으로 하는 보관 용기.",131,True,False,explicit_or_regex_estimated
1020040003813,1020050076024,,거절,거절,아민-알란계 화합물 보관 용기 및 그 제조방법,솔브레인홀딩스 주식회사,10,"10. 제 9 항에 있어서, 상기 R은 CH3이고, 상기 R1,R2,R3,R4,R5,R6 ,R7및 R8은 수소로 구성되어, 상기 L은 다음의 화학 구조식을 갖는 1 메틸 피롤리딘인 것을 특징으로 하는 보관 용기.",118,True,False,explicit_or_regex_estimated
1020040003813,1020050076024,,거절,거절,아민-알란계 화합물 보관 용기 및 그 제조방법,솔브레인홀딩스 주식회사,11,"11. 제 1 항에 있어서, 상기 아민-알란계 화합물을 보관하는 용기는, 상기 아민-알란계 화합물을 보관 용기내에 공급하는 공급관을 더 포함하며, 상기 공급관의 내외부 표면에 테프론층이 형성되어 있는 것을 특징으로 하는 보관 용기.",129,True,False,explicit_or_regex_estimated
