application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1019980041433,1020000024756,1002948060000,소멸,소멸,각도조정이 가능한 고가용 작업대,주식회사 케이엔월덱스,1,"1. <P INDENT=""14"" ALIGN=""JUSTIFIED"">평면에서 보아 전체적으로 'ㄷ'자 형상을 이루는 베이스와,</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">이 베이스에 설치되는 제 1구동수단에 의하여 상기 베이스 상에서 전후 직선운동이 가능하게 설치되는 작동판과, </P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 베이스 및 작동판의 설정된 기울기를 유지하기 위하여 상기 작동판 후면 좌·우에 2개 1조로 설치되는 제 2구동수단과,</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 제 2구동수단의 일단은 크레인 프레임에 설치되는 제2구동수단 고정 브라케트에 연결고정되어 있으며,</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 베이스 상의 소정 위치에 수직으로 설치되는 다수개의 포스트와,</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 다수개의 포스트의 상끝단에 회전운동이 자유롭게 설치되는 도르래 고정판 지지프레임과,</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 도르래 고정판 지지프레임의 중앙부에 고정설치되는 도르래 고정판과,</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 도르래 고정판에 설치되는 다수개의 도르래와,</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">크레인 프레임에 고정설치되기 위하여 상기 도르래 고정판 지지 프레임 부근에 설치되는 작업대 고정받침판과,</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 베이스 전면에 좌우 이동 및 상하 각도 조정이 가능하게 설치한 유리창문 흡착기구로 구성되는 것을 특징으로 하는 각도조정이 가능한 고가용 작업대. </P><CLAIM N=""2""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 1항에 있어서, 상기 제 1 구동수단 및 제 2구동수단은, 공압실린더인 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P><CLAIM N=""3""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 1항에 있어서, 상기 제 1 구동수단 및 제 2구동수단은, 유압실린더인 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P><CLAIM N=""4""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 1항에 있어서, 상기 다수개의 포스트는, 상부단이 일측방향으로 구부러진 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P><CLAIM N=""5""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 1항에 있어서, 상기 회전운동이 자유로운 도르래 고정판 지지프레임은, 상기 다수개의 포스트 상부에 형성된 삽입홈에 연결핀을 끼워 고정되는 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P><CLAIM N=""6""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 1항에 있어서, 상기 흡착기구는, 리드스크류 지지프레임에 회전 가능하게 설치되는 리드스크류와, 이 리드스크류의 양끝단에 부착된 조정핸들에 의하여 흡착기구 연결판이 좌우로 이동가능하게 구성된 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P><CLAIM N=""7""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 6항에 있어서, 상기 흡착기구는, 상기 리드스크류의 상하에 적어도 2개의 흡착기구 연결판 가이드체를 더 구비하는 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P><CLAIM N=""8""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 6항에 있어서, 상기 흡착기구 연결판은, 회전운동이 자유롭도록 1개의 연결핀으로 고정되는 것을 특징으로 하는 각도조정이 가능한 고가용 작업대. </P><CLAIM N=""9""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 6항에 있어서, 상기 흡착기구 연결판은, 소정의 구동수단에 연결된 와이어 로우프와 연결되어 작업자의 조작에 의하여 흡착기구에 흡착된 자재의 설치각도를 조정 가능하게 된 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P><CLAIM N=""10""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 1항에 있어서, 상기 작업대 작동판은, 그 전면에 제 3구동수단에 의하여 작동되는 보조 발판이 추가로 설치되어 있는 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P><CLAIM N=""11""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 10항에 있어서, 상기 제 3구동수단은 유압실린더인 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P><CLAIM N=""12""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 10항에 있어서, 상기 제 3구동수단은 공압실린더인 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P><CLAIM N=""13""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 1항에 있어서, 상기 작업대 작동판은, 그 외곽에 작업자 안전용 난간이 더 구비되는 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P><CLAIM N=""14""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 1항에 있어서, 상기 브라케트는, 몇 개의 조합된 엘레멘트로 구성되고 소정의 고정수단으로 이들 엘레멘트와 크레인 프레임을 상호 고정하는 것을 특징으로 하는 각도조절이 가능한 고가용 작업대. </P><CLAIM N=""15""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 14항에 있어서, 상기 몇 개의 엘레멘트는, 제 1엘레멘트와 제 2엘레멘트이며, 상기 제 1엘레멘트는 양측에 외향 돌출된 연결편을 가지는 2장 1조의 금속판이고, 제 2엘레멘트는 평판형상으로 된 2장 1조의 된 금속판인 것을 특징으로 하는 각도조정이 가능한 고가용 작업대</P><CLAIM N=""16""><P INDENT=""14"" ALIGN=""JUSTIFIED"">제 14항에 있어서, 상기 고정수단은, 볼트와 너트인 것을 특징으로 하는 각도조정이 가능한 고가용 작업대.</P>",3015,True,False,explicit_or_regex_estimated
1020057004946,1020050084573,1007107040000,소멸,소멸,플라즈마 챔버 캐소드의 관통구멍 폴리싱 방법과 장치,주식회사 월덱스,1,"1. 일정 두께의 규소 원판으로 형성되고 0.5mm이내 직경의 관통구멍(21)들이 형성되는 반도체 웨이버 가공용 플라즈마 챔버의 캐소드의 관통 내주면을 가공함에 있어서, 상기 캐소드(20)를 분사노즐(31)이 형성되는 분사기(30) 상부에 지그(a)를 이용하여 고정시키고, 상기 분사노즐(31)을 통해 일정압력의 연마용액을 공기와 함께 분사시켜 연마용액이 상기 캐소드의 관통구멍(21)의 내주면(21a)을 관통하며 내주면 표면을 연마하도록 하는 것을 특징으로 하는 플라즈마 챔버 캐소드의 관통구멍 폴리싱방법.",284,False,True,explicit_or_regex_estimated
1020057004946,1020050084573,1007107040000,소멸,소멸,플라즈마 챔버 캐소드의 관통구멍 폴리싱 방법과 장치,주식회사 월덱스,2,"2. 일정 두께의 규소 원판으로 형성되고 0.5mm이내 직경의 관통구멍(21)들이 형성되는 반도체 웨이버 가공용 플라즈마 챔버의 캐소드의 관통 내주면을 가공하는 장치에 있어서, 상기 캐소드(20)가 착탈 가능하게 덮이도록 상부가 개방되고 내주면에 복수개의 분사노즐(31)이 일정 경사를 두고 내부로 향하여 형성되는 복수개의 분사기(30)가 본체(40) 상부에 소정 간격을 두고 설치되고, 착탈이 가능한 지그(a)와 상기 각 분사기(30)의 분사노즐(31)들이 콤프레샤(50)와 펌프(60)에 연동되게 연결되며, 각 분사기(30)의 하부에 연마용액이 저장되는 탱크(70)가 상기 펌프(60)에 연동되게 연결되는 것을 특징으로 하는 플라즈마 챔버 캐소드의 관통구멍 폴리싱장치",375,False,True,explicit_or_regex_estimated
1020057004946,1020050084573,1007107040000,소멸,소멸,플라즈마 챔버 캐소드의 관통구멍 폴리싱 방법과 장치,주식회사 월덱스,3,"3. 제1항에 있어서, 연마용액은 물과 탄화규소(SiC)파우다 및 절삭유를 혼합하여 만드는 것을 특징으로 하는 플라즈마 챔버 캐소드의 관통구멍 폴리싱방법",85,True,False,explicit_or_regex_estimated
1020057004946,1020050084573,1007107040000,소멸,소멸,플라즈마 챔버 캐소드의 관통구멍 폴리싱 방법과 장치,주식회사 월덱스,4,"4. 제1항에 있어서, 지그(a)는 다이아몬드드릴로 천공된 캐소드(20)의 구멍(21)과 지그의 관통부(1a)가 일치하도록 하여 상하부면으로 일착 대응시켜 캐소드(20)를 고정시키는 것으로 구멍의 크기가 캐소드의 관통면보다 크게 구성되는 구멍(1a)을 가지는 원판형의 금속제인 것을 특징으로 하는 플라즈마 챔버 캐소드의 관통구멍 폴리싱방법",189,True,False,explicit_or_regex_estimated
1020057004946,1020050084573,1007107040000,소멸,소멸,플라즈마 챔버 캐소드의 관통구멍 폴리싱 방법과 장치,주식회사 월덱스,5,"5. 제1항에 있어서, 연마제의 크기를 다르게 하여 반복하여 캐소드의 내주면을 폴리싱하는 것을 특징으로 하는 것을 특징으로 하는 플라즈마 챔버 캐소드의 관통구멍 폴리싱방법",95,True,False,explicit_or_regex_estimated
1020060072177,,1007446390000,등록,등록,실리콘 단일재질의 플라즈마 챔버 캐소드 및 아웃링,주식회사 월덱스,1,"1. 반도체 에칭공정에 사용되며 일정간격을 두고 관통구멍(40)이 조밀하게 구성되고 캐소드에 있어서, 씽글크리스탈 재질의 실리콘으로 단일 구성하고, 애노드와 결착되는 부분으로 원형의 홈선(20) 및 홈(30)으로 구성되는 것을 포함하는 실리콘 단일재질의 캐소드.",146,False,True,explicit_or_regex_estimated
1020060072177,,1007446390000,등록,등록,실리콘 단일재질의 플라즈마 챔버 캐소드 및 아웃링,주식회사 월덱스,2,"2. 제 1항에 있어서, 상기 링 홈선(20) 및 플레이트 홈(30)에 삽입, 안착되고 표면에 관통구멍(40)이 조밀하게 구성되고 링 홈선(20) 및 플레이트 홈(30)의 넓이와 두께보다 작게 구성하고 재질은 실리콘 일체형으로 구성되는 플레이트(60) 및 링(70)으로 구성되는 것을 포함하는 실리콘 단일재질의 캐소드.",178,True,False,explicit_or_regex_estimated
1020060072177,,1007446390000,등록,등록,실리콘 단일재질의 플라즈마 챔버 캐소드 및 아웃링,주식회사 월덱스,3,"3. 반도체 에칭공정에 사용되며 일정간격을 두고 관통구멍(40)이 조밀하게 구성되고 캐소드의 아웃링에 있어서, 일정 직경의 링의 형태를 가지며 재질은 상부로 하나의 씽글크리스탈재질의 실리콘 원판에 분할된 폴리크리스탈재질의 실리콘을 결착시켜 구성하고 표면에 일정간격을 두고 관통구멍(40)이 조밀하게 구성되고 상기 상부에 아웃링 플레이트 홈(90)이 구성되는 것을 포함하는 실리콘 단일재질의 아웃링.",222,False,True,explicit_or_regex_estimated
1020060072177,,1007446390000,등록,등록,실리콘 단일재질의 플라즈마 챔버 캐소드 및 아웃링,주식회사 월덱스,4,"4. 제 3항에 있어서, 상기 아웃링 플레이트 홈(90)에 삽입, 안착되고 아웃링 플레이트 홈(90)의 넓이와 두께보다 작게 구성하고 재질은 싱클크리스탈 실리콘 또는 폴리크리스탈 실리콘으로 구성되는 아웃링 플레이트(100)로 구성되는 것을 포함하는 실리콘 단일재질의 아웃링",152,True,False,explicit_or_regex_estimated
