company_slug,company_name,source,sheet,excel_row,category,item_name,metric_name,metric_value,metric_unit,metric_value_source,numeric_signal_count,keyword_signal_count,content_present,content_char_count,quantifiable_plan,major_source_plan,middle_source_plan
duksan,덕산테코피아,tech_template_company_sheet,덕산,2,대표 기술,핵심 기술 키워드,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",4.0,number,"사용되는 전구체(Precursor)라고 정의, 주요 제품으로 HCDS, SiCl4, OMCTS, Star-Ti
반기보고서의 연구개발 항목에서 Low-k 공정 최적화, 저온 증착용",1,28,1,510,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)","사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허"
duksan,덕산테코피아,tech_template_company_sheet,덕산,3,대표 기술,적용 방식,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",251,chars,엑셀 내용 글자 수,0,21,1,251,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)","사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허"
duksan,덕산테코피아,tech_template_company_sheet,덕산,4,대표 기술,핵심 성능 요소,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)",144.0,℃,"도, 공정 최적화, 저온 증착 대응, 박막 형성 안정성
 HCDS의 경우 끓는점 144℃, 녹는점 -1℃, 밀도 1.58 g/mL(0℃)
반기보고서에서 impurity 관리에 따른 고순도",4,12,1,237,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)","사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허"
duksan,덕산테코피아,tech_template_company_sheet,덕산,5,핵심 제품/서비스,제품명/서비스명,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",5.0,개,"반도체 소재, OLED 소재, 배터리 소재, 의약품 중간체, 기능성 화학 소재의 5개 축
반도체 쪽 대표 제품은 HCDS, SiCl4, OMCTS, Star-Ti이고, OLED 쪽은",2,11,1,292,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수","사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드"
duksan,덕산테코피아,tech_template_company_sheet,덕산,6,핵심 제품/서비스,적용 기술,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",114,chars,엑셀 내용 글자 수,0,6,1,114,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수","사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드"
duksan,덕산테코피아,tech_template_company_sheet,덕산,7,핵심 제품/서비스,주요 고객군,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수",178,chars,엑셀 내용 글자 수,0,8,1,178,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수","사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드"
duksan,덕산테코피아,tech_template_company_sheet,덕산,8,고객 구매 이유,고객 효익,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",151,chars,엑셀 내용 글자 수,0,9,1,151,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수","1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급"
duksan,덕산테코피아,tech_template_company_sheet,덕산,9,고객 구매 이유,경쟁 제품 대비 장점,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",78,chars,엑셀 내용 글자 수,0,8,1,78,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수","1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급"
duksan,덕산테코피아,tech_template_company_sheet,덕산,10,고객 구매 이유,실제 적용 사례,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수",135,chars,엑셀 내용 글자 수,0,8,1,135,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수","1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급"
duksan,덕산테코피아,tech_template_company_sheet,덕산,11,경쟁 우위 요소/대체가능성,등록 특허,"등록 특허 수, 인증 수, 주요 고객 승인 수, 고객 전환 기간, 레퍼런스 건수",70,chars,엑셀 내용 글자 수,0,3,1,70,"등록 특허 수, 인증 수, 주요 고객 승인 수, 고객 전환 기간, 레퍼런스 건수",사업보고서 / 특허 / 기사,"사업보고서: 시장 경쟁상황 / 진입장벽 / 기술 경쟁력 / 주요 원재료·공정 우위 / 위험요인 / 신규 경쟁사 언급
특허: 등록특허 수 / 핵심 특허 존속기간 / 청구항 범위 / 회피설계 난이도 / 해외 등록 여부
기사: 경쟁사 비교 기사 / 국산화·대체재 기사 / 고객사 공급 확정 기사 / 업계 평가 / 가격·수율 경쟁 기사"
