application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1020050130815,,1007487150000,소멸,소멸,하드웨어 작업관리 장치,주식회사 텔레칩스,1,1. 중앙처리장치와 메모리와의 연결을 중재하는 인터페이스부;상기 인터페이스부를 통해 수신되는 하드웨어 동작 정보 및 제어 신호를 저장하는 레지스터부;외부 하드웨어 장치로부터 입력되는 하드웨어 상태 정보와 상기 레지스터부로부터 수신되는 하드웨어 동작 정보로부터 하드웨어 블록 간의 종속 여부를 확인하는 디펜던시 체커; 및상기 레지스터부에 저장된 하드웨어 동작 정보 및 제어 신호를 읽고 분석해서 상기 디펜던시 체커로부터 입력된 하드웨어 상태에 따라 해당 하드웨어 블록을 제어하는 하나이상의 FSM 부;를 포함하는 것을 특징으로 하는 하드웨어 작업관리 장치.,310,False,True,explicit_or_regex_estimated
1020050130815,,1007487150000,소멸,소멸,하드웨어 작업관리 장치,주식회사 텔레칩스,2,"2. 제 1 항에 있어서,상기 FSM 부가 복수 개인 경우, 상기 복수의 FSM 부로부터 제공되는 복수의 신호를 임의의 하나의 출력선으로 내보내는 포트 멀티플렉서; 및상기 복수의 FSM 부로부터 제공되는 복수의 입력 신호 중 어느 하나를 선택할 수 있도록 중재 신호를 생성하는 아비트레이터;를 더 포함하는 것을 특징으로 하는 하드웨어 작업관리 장치.",195,True,False,explicit_or_regex_estimated
1020050130815,,1007487150000,소멸,소멸,하드웨어 작업관리 장치,주식회사 텔레칩스,3,"3. 제 1 항 또는 제 2 항에 있어서,상기 하드웨어 동작 정보는 수행될 하드웨어 블록들의 정보를 가지고 있는 태스크 리스트와 해당 하드웨어 레지스터 정보를 담고 있는 태스크 아이템으로 구성되는 것을 특징으로 하는 하드웨어 작업관리 장치.",134,True,False,explicit_or_regex_estimated
1020070004359,,1007483850000,소멸,소멸,이동형 저장매체를 이용한 음향 시스템 및 그 제어방법,주식회사 텔레칩스,3,"3. 아날로그 음원을 기기 내부로 입력하는 마이크;상기 마이크를 통해 입력된 아날로그 음원을 미리 저장된 반주와 함께 재생하는 음향 재생부와, 상기 음향 재생부에서 재생되는 상기 아날로그 음원 및 반주를 합성하고 인코딩하여 생성된 디지털 오디오 데이터를 기기에 접속된 이동형 저장매체에 저장할 수 있도록 인터페이스를 수행하는 이동형 저장매체 포트와, 상기 음향 재생부에서 재생되는 아날로그 음원과 반주를 함께 저장하는 내부 저장부를 구비하는 음향 기기; 및상기 이동형 저장매체 포트를 통해 상기 음향 기기에 접속되고, 상기 음향 기기에서 재생 출력하는 아날로그 음원 및 반주를 저장하고, 상기 음향 기기로부터 상기 반주에 대응되는 곡의 정보 파일을 전달받아 저장하는 이동형 저장매체;를 포함하여 구성되는 이동형 저장매체를 이용한 음향 시스템.",415,False,True,explicit_or_regex_estimated
1020070004359,,1007483850000,소멸,소멸,이동형 저장매체를 이용한 음향 시스템 및 그 제어방법,주식회사 텔레칩스,6,"6. 아날로그 음원을 기기 내부로 입력하는 마이크;촬영된 영상을 기기 내부로 입력하는 카메라;상기 마이크를 통해 입력된 아날로그 음원을 미리 저장된 반주와 함께 재생하는 음향 재생부와, 상기 음향 재생부에서 재생되는 상기 아날로그 음원과 반주를 합성하고 인코딩하여 생성된 디지털 오디오 데이터와 상기 카메라를 통해 입력된 영상 데이터를 기기에 접속된 이동형 저장매체에 저장할 수 있도록 인터페이스를 수행하는 이동형 저장매체 포트와, 상기 음향 재생부에서 재생되는 아날로그 음원과 반주를 함께 저장하고, 상기 카메라를 통해 촬영된 영상을 저장하는 내부 저장부를 구비하는 음향 기기; 및상기 이동형 저장매체 포트를 통해 상기 음향 기기에 접속되고, 상기 음향 기기에서 재생 출력하는 아날로그 음원과 반주를 저장하고, 상기 카메라를 통해 촬영된 영상 데이터를 저장하고, 상기 음향 기기로부터 상기 반주에 대응되는 곡의 정보 파일을 포함하여 저장하는 이동형 저장매체;를 포함하여 구성되는 이동형 저장매체를 이용한 음향 시스템.",514,False,True,explicit_or_regex_estimated
1020070004359,,1007483850000,소멸,소멸,이동형 저장매체를 이용한 음향 시스템 및 그 제어방법,주식회사 텔레칩스,7,"7. 제 3 항 또는 제 6 항에 있어서,상기 음향 기기의 데이터를 저장한 상기 이동형 저장매체와 인터페이스하는 이동형 저장매체 포트, 상기 이동형 저장매체 포트를 통해 전송된 음향을 재생하는 음향 재생부, 상기 음향 재생부에서 재생한 음향을 D/A 변환하여 외부 출력이 가능한 신호를 생성하는 DAC부를 구비한 음향 재생 기기; 및상기 음향 재생 기기에서 재생 및 D/A 변환하여 생성된 신호에 따른 음향을 출력하는 스피커;를 더 포함하여 구성되는 이동형 저장매체를 이용한 음향 시스템.",273,True,False,explicit_or_regex_estimated
1020070004359,,1007483850000,소멸,소멸,이동형 저장매체를 이용한 음향 시스템 및 그 제어방법,주식회사 텔레칩스,10,"10. (a) 이동형 저장매체가 음향 기기의 이동형 저장매체 포트에 삽입되면, 상기 음향 기기가 상기 삽입된 이동형 저장매체를 인식하는 단계;(b) 상기 음향 기기가 마이크를 통해 입력된 음원과 반주를 합성하고 인코딩하여 디지털 오디오 데이터를 생성하여 이동형 저장매체에 저장하는 단계;(c) 상기 음향 기기가 카메라를 통해 촬영된 영상을 포함하여 상기 이동형 저장매체에 저장하는 단계;(d) 상기 음향 기기가 상기 반주에 대응되는 곡 정보 파일을 생성하고, 상기 생성된 곡 정보 파일을 상기 이동형 저장매체에 저장하는 단계; 및(e) 상기 이동형 저장매체에 저장된 곡을 이동형 저장매체 포트를 구비한 음향 재생 기기에서 재생되도록 하는 단계;를 포함하여 구성되는 이동형 저장매체를 이용한 음향 시스템의 제어방법.",399,False,True,explicit_or_regex_estimated
1020080027987,,1009105530000,소멸,소멸,싱크 에러가 포함된 데이터 CD 판독 방법,주식회사 텔레칩스,3,"3. CD 데이터에서 싱크 데이터에 에러가 발생된 경우 정정 판독하기 위한 방법으로서, (a) 데이터 CD로부터 CD 데이터를 판독하는 단계; (b) 상기 CD 데이터에 포함된 다수의 섹터에 대해 순차적으로 판독대상 섹터를 식별하는 단계; (c) 상기 판독대상 섹터에서 싱크 데이터의 에러 여부를 판별하는 단계; (d) 상기 싱크 데이터가 에러로 판명될 경우, 상기 판독대상 섹터 이후로 이어지는 미리 설정된 섹터 범위 내에서 정상 싱크 데이터를 갖는 정상 섹터가 연속하여 복수 개가 존재하는지 여부를 판단하는 단계; (e) 상기 정상 섹터가 존재할 경우, 상기 판독대상 섹터의 에러 싱크 데이터를 정상 싱크 데이터 값으로 정정 설정하는 단계; 및 (f) 상기 정정 설정된 판독대상 섹터를 에러 정정 디코딩에 제공하는 단계; 를 포함하여 구성되는 싱크 에러가 포함된 데이터 CD 판독 방법.",442,False,True,explicit_or_regex_estimated
1020080027987,,1009105530000,소멸,소멸,싱크 에러가 포함된 데이터 CD 판독 방법,주식회사 텔레칩스,5,"5. CD 데이터에서 싱크 데이터에 에러가 발생된 경우 정정 판독하기 위한 방법으로서, (a) 데이터 CD로부터 CD 데이터를 판독하는 단계; (b) 상기 CD 데이터에 포함된 다수의 섹터에 대해 순차적으로 판독대상 섹터를 식별하는 단계; (c) 상기 판독대상 섹터에서 싱크 데이터의 에러 여부를 판별하는 단계; (d) 상기 싱크 데이터가 에러로 판명될 경우, 상기 판독대상 섹터 이후로 이어지는 미리 설정된 복수 개의 섹터가 모두 정상 섹터인지 여부를 판단하는 단계; (e) 상기 정상 섹터가 존재할 경우, 상기 판독대상 섹터의 에러 싱크 데이터를 정상 싱크 데이터 값으로 정정 설정하는 단계; 및 (f) 상기 정정 설정된 판독대상 섹터를 에러 정정 디코딩에 제공하는 단계; 를 포함하여 구성되는 싱크 에러가 포함된 데이터 CD 판독 방법.",415,False,True,explicit_or_regex_estimated
1020080130221,1020100071487,1009741900000,소멸,소멸,부동 소수점을 이용한 복소수 곱셈방법,주식회사 텔레칩스,1,"1. (A) 실수부와 허수부로 구성되고 상기 실수부와 상기 허수부는 각각 부호부, 지수부, 유효숫자부를 포함하는 부동 소수점 비트열 형태인 2개의 복소수(이하, '제 1 복소수', '제 2 복소수'라 함)를 입력받는 단계; (B) 상기 제 1 복소수의 실수부와 상기 제 2 복소수의 실수부에 대한 각각의 지수부의 합(이하, 'AC 지수합'이라 함)을 구하고, 상기 제 1 복소수의 허수부와 상기 제 2 복소수의 허수부에 대한 각각의 지수부의 합(이하, 'BD 지수합'이라 함)을 구한 후 상기 두 합의 차의 절대값(이하, '실수부 지수차'라 함)을 산출하는 단계; (C) 상기 제 1 복소수의 실수부와 상기 제 2 복소수의 실수부에 대한 각각의 유효숫자부의 곱(이하, 'AC 유효숫자곱'이라 함)을 구하고, 상기 제 1 복소수의 허수부와 상기 제 2 복소수의 허수부에 대한 각각의 유효숫자부의 곱(이하, 'BD 유효숫자곱'이라 함)을 구하는 단계; (D) 상기 AC 유효숫자곱과 상기 BD 유효숫자곱 중 상기 지수부의 합이 작은 값을 상기 실수부 지수차만큼 오른쪽으로 쉬프트시킨 후 상기 두 값의 차를 산출하고 이를 복소수 곱셈 결과값 중 실수부의 유효숫자부로 설정하여 출력하는 단계; 및 (E) 상기 AC 지수합과 상기 BD 지수합 중 큰 값에 상기 두 유효숫자곱의 차에 따른 캐리값을 적용하고 바이어스값을 뺀 후 복소수 곱셈 결과값 중 실수부의 지수부로 설정하여 출력하는 단계; 를 포함하여 구성되는 복소수 곱셈방법.",739,False,True,explicit_or_regex_estimated
