application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1019900019705,1019910012747,1000736130000,소멸,소멸,컬러화상신호평가방법및그장치,주식회사 아도반테스토,1,"1. <P>표시화면의 각 화소위치에 대응하는 컬러화상신호를 I신호와 Q신호로 변환하는 컬러신호 변환수단, 상기 I신호와 Q신호를 각각 각 화소위치에 대응한 어드레스에 화소데이타로서 기억하는 제1 및 제2화상 메모리수단, 상기 제1 및 제2화상 메모리수단의 서로 대응하는 어드레스로부터 판독된 상기 I신호 화소데이타와 상기 Q신호 화소데이타를 각각 화소의 배열방향에 관하여 순차적으로 미분하고, I신호 미분치와 Q신호 미분치를 각각 출력시키는 제1 및 제2미분처리수단, 상기 제1 및 제2미분 처리수단으로부터 출력된 상기 I신호 미분치와 Q신호 미분치를 벡터 합성시켜 미분 벡터 합성치를 출력시키는 연산수단, 상기 연산수단으로부터 출력된 각 미분 벡터 합성치를 대응하는 어드레스에 기억시키는 제3화상 메모리수단, 및 상기 제3화상 메모리 수단에서 판독된 상기 미분벡터 합성치의 변화의 크기를 색얼룩의 정도를 표시하는 지수로서 계산하고, 상기 지수를 사전에 결정한 일정치와 비교하여 색 얼룩이 허용범위내인지의 여부를 판정하는 평가수단을 포함하는 것을 특징으로 하는 컬러화상 신호평가장치.</P>",554,False,True,explicit_or_regex_estimated
1019900019705,1019910012747,1000736130000,소멸,소멸,컬러화상신호평가방법및그장치,주식회사 아도반테스토,2,"2. <P>표시화면의 각 화소위치에 대응하는 컬러화상신호를 I신호와 Q신호로 변환하는 스텝, 상기 I신호와 Q신호를 각각 제1 및 제2화상 메모리의 각 화소위치에 대응한 어드레스에 화소데이타로서 기억하는 스텝, 상기 제1 및 제2화상 메모리의 서로 대응하는 어드레스로부터 판독된 상기 I신호 화소데이타와 상기 Q신호 화소데이타를 각각 판독하고, 각각 화소의 배열방향에 관하여 순차적으로 미분하여, 각 화소위치에 대응하여 I신호 미분치와 Q신호 미분치를 얻는 스텝, 상기 I신호 미분치와 상기 Q신호 미분치를 벡터 합성하여 미분 벡터 합성치를 각 화소위치에 배치하여 얻는 스텝, 각 화소위치의 상기 미분 벡터 합성치를 제3화상 메모리에 대응하는 어드레스에 기억시키는 스텝, 및 상기 제3화상 메모리에 기억되어 있는 상기 미분 벡터 합성치가 형성되는 크기를 색 얼룩정도의 지수로서 나타내고, 상기 지수를 사전에 결정한 일정치와 배교함으로써 색 얼룩이 허용범위내인지의 여부를 판정하는 스텝을 포함하는 것을 특징으로 하는 컬러 화상신호 평가방법.</P>",529,False,True,explicit_or_regex_estimated
1019900019705,1019910012747,1000736130000,소멸,소멸,컬러화상신호평가방법및그장치,주식회사 아도반테스토,3,"3. <P>제2항에 있어서, 각 화소위치에 있어서의 상기 I신호 미분치를 dI, 상기 Q신호 미분치를 dQ, 및 상기 미분벡터 합성치를 Z로 각각 표시하면, 상기 화소위치에 있어서의 상기 미분 벡터 합성치는<EMI ID=""5"" HE=""6"" WI=""35"" FILE=""KPO00005.TIF"">식으로 계산되는 것을 특징으로 하는 컬러 화상 신호 평가방법.</P>",200,True,False,explicit_or_regex_estimated
1019900019705,1019910012747,1000736130000,소멸,소멸,컬러화상신호평가방법및그장치,주식회사 아도반테스토,4,"4. <P>제2항 내지 제3항중 어느 1항에 있어서, 상기 지수(F)는 상기 미분 벡터 합성치가 형성되는 변화의 산에 대해서의 패크 패러미터(P), 면적 패러미터(A) 및 체적 패러미터(V)로 표시되는 다음식, 즉 F=k<SB>1</SB>·P+k<SB>2</SB>·A+k<SB>3</SB>·V(상기 식에서 k<SB>1</SB>,k<SB>2</SB> 및 k<SB>3</SB>는 사전에 설정된 계수임)로 규정되는 것을 특징으로 하는 컬러 화상신호 평가방법.</P>",257,True,False,explicit_or_regex_estimated
1019910000104,1019910014950,1000860320000,소멸,소멸,반도체메모리시험장치,주식회사 아도반테스토,1,"1. <P>테스트헤드에 장착되어 각기 복수의 출력핀을 가지는 복수의 피시험메모리소자에 각각 테스트페턴을 인가하는 패턴발생수단; 상기 피시험메모리소자의 각 출력핀을 핀마다 기대치와 논리비교하여, 그 논리비교결과를 출력하는 논리비교회로수단; 각 상기 시험메모리소자의 사전 결정한 복수의 핀에 대한 상기 논리비교결과의 논리합을 취하는 복수의 논리합회로; 상기 논리비교회로수단으로부터의 상기 피시험메모리소자의 각각 대응하는 핀에 대한 복수의 상기 논리비교결과와 상기 복수의 논리합회로의 상이한 하나의 논리합출력이 입력되고, 그들의 임의의 하나를 각각 선택출력하는 복수의 멀티플렉서수단; 및 상기 복수의 멀티플렉서수단의 출력이 분배되어 기억되는 페일메모리수단을 포함하는 것을 특징으로 하는 반도체 메모리 시험장치.</P>",398,False,True,explicit_or_regex_estimated
1019910000104,1019910014950,1000860320000,소멸,소멸,반도체메모리시험장치,주식회사 아도반테스토,2,"2. <P>제1항에 있어서, 상기 장치에 있어서 적어도 또 하나의 테스트 헤드에 장착된 복수의 제2의 피시험메모리소자의 각 출력을 핀마다 기대치와 논리비교하여 그 논리비교결과를 출력하는 제2논리비교수단; 상기 제2피시험메모리소자의 사전 결정된 복수의 핀에 대한 상기 논리비교결과의 논리합을 취하는 복수의 제2논리합회로; 상기 제2논리비교회로수단으로부터의 상기 제2피시험메모리소자의 각각 대응하는 핀에 대한 복수의 상기 논리비교결과와, 상기 복수의 제2논리합회로의 상이한 하나의 논리합이 출력이 입력되었고, 그들의 임의의 하나를 각각 선택 출력하는 복수의 제2멀티플렉서수단 ; 및 상기 제1 및 제2멀티플렉서수단의 출력을 선택출력하는 복수의 제3멀티플렉서수단을 포함하고, 여기서 상기 페일메모리수단은 적어도 2개의 페일메모리를 포함하여 각각 상기 복수의 제3멀티플렉서수단의 출력이 분배되도록 하는 것을 특징으로 하는 반도체 메모리 시험장치.</P>",473,True,False,explicit_or_regex_estimated
1019910000104,1019910014950,1000860320000,소멸,소멸,반도체메모리시험장치,주식회사 아도반테스토,3,"3. <P>제2항에 있어서, 제1테스트헤드에 장착된 상기 복수의 제1피시험메모리소자는 N개이고, 각각의 메모리 소자는 P개의 출력핀을 가지며, 여기서 N과 P는 2이상의 정수이며, 제2테스트헤드에 장착된 상기 제2피시험메모리소자는 N개이고, 각각의 메모리소자는 P개의 출력핀을 가지며, 상기 N개의 제1논리합회로는 상기 N개의 제1피시험메모리소자의 각 출력핀마다 논리비교결과가 입력되고 상기 각 N개의 제1피시험메모리소자의 사전 결정된 K개의 핀에 대한 상기 논리비교결과의 논리합을 취하며, 여기서 K는 2<EMI ID=1 HE=4 WI=4 FILE=""kpo00001.TIF"">K<EMI ID=2 HE=4 WI=4 FILE=""kpo00002.TIF"">P를 만족시키는 정수이고, 상기 N개의 제2피시험메모리소자의 각 출력핀마다 논리비교결과가 주어지는 상기 복수의 제2논리합회로는 N개이며 각 상기 N개의 제2피시험메모리소자의 사전 결정된 K개의 핀에 대한 상기 논리비교결과의 논리합을 취하며, 상기 제1멀티플렉서수단은 상기 제1논리비교회로수단으로 부터 상기 N개의 제1피시험메모리소자의 대응하는 핀에 대한 N개의 상기 논리비교결과와 상기 N개의 제1논리합회로의 상이한 한개의 논리합출력이 입력되고, 그들의 임의의 하나를 선택출력하도록 각각 대응하는 핀에 대해 N개씩 설치되고, 상기 제2멀티플렉서수단은 상기 제2논리비교회로수단으로부터 상기 N개의 제2피시험메모리소자의 대응하는 핀에 대한 N개의 상기 논리비교결과와 상기 N개의 제2논리합회로의 상이한 하나의 논리합출력이 입력되고, 그들의 임의의 하나를 선택출력하도록 각각 대응하는 핀에 대하여 N개씩 설치되며, 적어도 상기 제1멀티플렉서수단과 상기 제2멀티플렉서수단의 서로 대응하는 2개의 출력이 각각 입력되고, 어느 한쪽의 입력을 선택출력하는 복수의 제3멀티플렉서수단과, 상기 복수의 제3멀티플렉서의 출력이 분배공급하는 적어도 2개의 페일메모리를 더 포함하는 것을 특징으로 하는 반도체 메모리 시험장치. </P>",986,True,False,explicit_or_regex_estimated
1019910003485,1019910017759,1000762000000,소멸,소멸,순서동작형논리회로디바이스,주식회사 아도반테스토,1,"1. <P>복수의 플립플롭회로(FC)를 포함한 플립플롭군(11)과 그 플립플롭군과 접속된 조합회로(12)로 이루어지고, 소정의 순서 논리동작을 실행하기위한 논리회로부(10)와, 상기 논리회로부(10)내의 상기 플립플롭회로(FC)의 각각에 접속되고, 외부에서 부여된 어드레스에 응하여 상기 플립플롭군(11)내의 상기 플립플롭회로를 선택지정하기 위한 지정회로수단(22)과, 상기 논리회로부(10)내의 상기 플립플롭회로(FC)의 각각에 접속되고, 상기 지정회로수단(22)에 의해 선택지정된 상기 플립플롭회로(FC)에 외부에서 부여되는 설정신호에 응하여 세트신호 또는 리세트 신호를 부여하는 기입회로수단(21)를 포함하고, 상기 플립플롭군(11)내의 각 상기 플립플롭회로(FC)는 입력 데이타를 기억하기 위한 플립플롭수단(DFF)과, 입력이 상기 기입수단(21) 및 상기 지정회로수단(22)에 접속되고 출력이 상기 플립플롭수단(DFF)에 접속되며 상기 플립플롭회로(FC)가 상기 지정회로수단(22)에 의해 선택 지정되었을 때에 상기 세트신호 또는 리세트 신호를 상기 플립플롭수단(DFF)에 부여하여 그것을 세트 또는 리세트하는 제1게이트 수단(G1,G2)과, 입력이 상기 플립플롭수단(DFF)의 출력 및 상기 지정회로수단(22)에 접속되고, 상기 지정회로수단에 의해 선택지정되었을 때에 상기 플립플롭수단(DFF)의 출력논리를 외부로 출력시키는 제2게이트 수단(G3)을 포함하고, 이로써 평상시는 소정의 순서논리동작을 실행하고, 시험시에는 상기 지정회로수단(22)에 의하여 지정된 소망의 상기 플립플롭회로(FC)를 상기 기입회로수단(21)에 의하여 임의로 세트 또는 리세트하고 상기 지정회로수단(22)의 지정에 따라 상기 플립플롭회로(FC)의 출력논리를 차례로 판독가능한 것을 특징으로 하는 순서동작형 논리회로 디바이스.</P>",906,False,True,explicit_or_regex_estimated
1019910003485,1019910017759,1000762000000,소멸,소멸,순서동작형논리회로디바이스,주식회사 아도반테스토,2,"2. <P>상기 지정회로수단(22)이 상기 부여된 어드레스를 복호하여 상기 플립플롭군(11)내의 선택지정된 하나의 상기 플립플롭회로(FC)에 복호 어드레스 신호를 부여하는 디코더 수단(21x,21y)을 포함하는 순서동작형 논리회로 디바이스에 있어서, 각 상기 플립플롭회로(FC)의 상기 제1게이트 수단(G1,G2)은, 상기 디코더 수단(21x,21y)의 출력과 상기 기입회로수단(21)의 출력에 접속된 입력과 상기 플립플롭수단(FDD)의 세트단자에 접속된 출력을 갖고, 부여된 상기 복호 어드레스 신호에 응답하여 상기 세트신호를 통과시켜 상기 플립플롭수단(FDD)을 세트시키는 제1AND 게이트(G1)와, 상기 디코더 수단(21x,21y)의 출력과 상기 기입회로수단(21)의 출력에 접속된 입력과 상기 플립플롭수단(FDD)의 리세트 단자에 접속된 출력을 갖고, 상기 복호 어드레스 신호에 응답하여 상기 리세트 신호를 통과시켜 상기 플립플롭수단(FDD)을 리세트시키는 제2AND 게이트(G2)를 포함하는 것을 특징으로 하는 순서동작형 논리회로 디바이스.</P>",536,False,True,explicit_or_regex_estimated
1019910003485,1019910017759,1000762000000,소멸,소멸,순서동작형논리회로디바이스,주식회사 아도반테스토,3,"3. <P>제2항에 있어서, 각각의 상기 플립플롭회로(FC)의 상기 플립플롭수단(FDD)은 외부에서 부여된 시스템 클록에 응답하여 상기 입력 데이터를 기억하는 D형 플립플롭인 것을 특징으로 하는 순서동작형 논리회로 디바이스.</P><P></P>",136,True,False,explicit_or_regex_estimated
