application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1019860000366,1019860005583,1000443010000,소멸,소멸,살충제조성물,미코겐 코포레이숀,1,"1. <P>폴리펩타이드 독소를 코딩하는 유전자를 함유한 미생물을 배양하고, 프로테아제 불활성화 조건이나 세포벽 강화조건하에서 미생물세포를 사별시키는 것을 특징으로하여 세포내 독소함유의 미분해에 가까운 단세포 미생물을 제조하는 방법.</P>",133,False,True,explicit_or_regex_estimated
1019860000366,1019860005583,1000443010000,소멸,소멸,살충제조성물,미코겐 코포레이숀,2,"2. <P>제1항에 있어서, 폴리펩타이드 독소를 코딩하는 유전자가 이형유전자인 것을 특징으로하는 방법.</P>",61,True,False,explicit_or_regex_estimated
1019860000366,1019860005583,1000443010000,소멸,소멸,살충제조성물,미코겐 코포레이숀,3,"3. <P>제1항에 있어서, 폴리펩타이드 독소를 코딩하는 유전자가 상동유전자인 것을 특징으로 하는 방법.</P>",62,True,False,explicit_or_regex_estimated
1019950701653,1019950704523,1002206270000,소멸,소멸,금속코발트분말의제조방법,유미코아,1,"1. <P>0.3g 내지 10g의 가용성 은에 대하여 환원시키고자 하는 코발트 중량비가 1kg이 되도록 황산은 또는 질산은을 암모니아성 황산코발트 용액에 첨가하는 단계와, 제조하고자 하는 코발트 금속분말의 응집을 방지하는데 효과적인 양의 유기분산제를 첨가하는 단계와, 황산코발트를 코발트 금속분말로 환원시키는데 충분한 시간동안 2.5 내지 5.0MPa의 수소압하에서 교반하면서 150 내지 250<EMI ID=""127"" HE=""4"" WI=""4"" FILE=""kpo00127.TIF"">에서 상기 용액을 가열하는 단계로 이루어진, 40 내지 80g/L 코발트를 함유하며 암모니아/코발트의 몰 비가 약 1.5<EMI ID=""128"" HE=""4"" WI=""4"" FILE=""kpo00128.TIF"">3.0:1인 암모니아성 황산코발트용액으로부터 황화물과 시안화물을 사용하지 않고 제조하는 미세 코발트 분말의 제조방법.</P>",453,False,True,explicit_or_regex_estimated
1019950701653,1019950704523,1002206270000,소멸,소멸,금속코발트분말의제조방법,유미코아,2,"2. <P>제1항에 있어서, 상기 유기분산제는 아교, 폴리아크릴산 및 아교와 폴리아크릴산의 혼합물로 이루어진 그룹 중에서 선택된 미세 코발트 분말의 제조방법.</P>",92,True,False,explicit_or_regex_estimated
1019950701653,1019950704523,1002206270000,소멸,소멸,금속코발트분말의제조방법,유미코아,3,"3. <P>제1항에 있어서, 상기 유기분산제는 아교와 폴리아크릴산의 혼합물인 미세 코발트 분말의 제조방법.</P>",63,True,False,explicit_or_regex_estimated
1019950701653,1019950704523,1002206270000,소멸,소멸,금속코발트분말의제조방법,유미코아,4,"4. <P>제3항에 있어서, 상기 아교와 폴리아크릴산의 혼합물은 코발트 중량의 2.5 이하의 유효량으로 첨가되는 미세 코발트 분말의 제조방법.</P>",83,True,False,explicit_or_regex_estimated
1019950701653,1019950704523,1002206270000,소멸,소멸,금속코발트분말의제조방법,유미코아,5,"5. <P>환원시키고자 하는 코발트 1kg당 0.3 내지 4g의 은을 공급하는 유효량의 황산은 또는 질산은을 암모니아성 황산코발트 용액에 첨가하는 단계와, 제조하고자 하는 초미세 코발트 분말의 응집을 방지하는데 효과적인 양의 유기분산제를 첨가하는 단계와, 황산코발트를 초미세 코발트 분말로 환원시키는데 충분한 시간동안 3.5MPa의 수소압하에서 180<EMI ID=""129"" HE=""4"" WI=""4"" FILE=""kpo00129.TIF"">로 상기 용액을 가열하는 단계로 이루어진, 40 내지 80g/L 코발트를 함유하며 암모니아:코발트의 몰 비가 약 2.0:1인 암모니아성 황산코발트 용액으로부터 초미세 코발트 분말을 제조하는 초미세 코발트 분말의 제조방법.</P>",371,False,True,explicit_or_regex_estimated
1019950701653,1019950704523,1002206270000,소멸,소멸,금속코발트분말의제조방법,유미코아,6,"6. <P>제1항에 있어서, 상기 암모니아성 황산코발트 용액은 40 내지 80g/L 코발트를 함유하는 황산코발트 용액에 암모니아를 첨가하여 암모니아/코발트의 몰비가 1.5<EMI ID=""130"" HE=""4"" WI=""4"" FILE=""kpo00130.TIF"">3.0:1이 되도록 하는 미세 코발트 분말의 제조방법.</P>",177,True,False,explicit_or_regex_estimated
1019950701653,1019950704523,1002206270000,소멸,소멸,금속코발트분말의제조방법,유미코아,7,"7. <P>제5항에 있어서, 상기 암모니아성 황산코발트 용액은 40 내지 80g/L의 코발트를 함유하는 황산코발트 용액에 암모니아를 첨가하여 암모니아/코발트의 몰비가 2.0:1이 되도록 하는 초미세 코발트 분말의 제조방법.</P>",128,True,False,explicit_or_regex_estimated
