application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder,claim_no,claim_text,claim_char_len,is_dependent_estimated,is_independent_estimated,dependency_source
1019980022960,1020000002287,,거절,거절,신규 옥사지닐아졸계 살균제,주식회사 디비하이텍,1,"1. <P>하기 화학식 1로 표시되는 신규 옥사지닐아졸 유도체;</P><P>화학식 1</P><P><EMI ID=""5"" HE=""34"" WI=""68"" FILE=""kpo00004.TIF""></P><P>상기식에서 </P><P>ⅰ) X 및 Y 가 CH<SB>2</SB> 인 경우, R<SB>1 </SB>은 할로겐, 니트로 또는 아릴기이고, R<SB>2 </SB>는 이미다졸 또는 트리아졸이고, R<SB>3 </SB>는 수소이고, R<SB>4 </SB>는 수소이며;</P><P>ⅱ) X 가 산소 (O)이고 Y 가 CH<SB>2 </SB>인 경우, R<SB>1 </SB>은 할로겐이고, R<SB>2 </SB>는 이미다졸 또는 트리아졸이고, R<SB>3 </SB>는 수소이고, R<SB>4</SB>는 수소이며;</P><P>ⅲ) X 가 CH<SB>2 </SB>이고 Y 가 산소인 경우, R<SB>1 </SB>은 니트릴, 니트로, 할로겐, 알콕시, 니트로기 등으로 치환되거나 치환되지 않은 아릴, 할로겐, 알콕시, 니트로기 등으로 치환되거나 치환되지 않은 아릴옥시 또는 시클로알킬 이고, R<SB>2 </SB>는 이미다졸 또는 트리아졸이고, R<SB>3 </SB>는 알킬이고, R<SB>4 </SB>는 수소, 할로겐, 알킬 또는 아릴이며;</P><P>ⅳ) X 가 CH<SB>2 </SB>이고 Y 가 황 (S)인 경우, R<SB>1 </SB>은 할로겐, 할로겐, 알콕시, 니트로기 등으로 치환되거나 치환되지 않은 아릴 또는 할로겐, 알콕시, 니트로기 등으로 치환되거나 치환되지 않은 아릴옥시이고, R<SB>2 </SB>는 이미다졸 또는 트리아졸이고, R<SB>3 </SB>는 수소 또는 알킬이고, R<SB>4 </SB>는 수소 또는 알킬이다.</P>",856,False,True,explicit_or_regex_estimated
1019980022960,1020000002287,,거절,거절,신규 옥사지닐아졸계 살균제,주식회사 디비하이텍,2,"2. <P>제 1항에 있어서, 신규 옥사지닐아졸 유도체는</P><P>3-(4'-클로로페닐)-6-페닐에틸-5,6-디히드로-4-이미다졸릴-1,2-옥사진;</P><P>3-(4'-클로로페닐)-6-페닐에틸-5,6-디히드로-4-(1,2,4-트리아졸릴)-1,2-옥사진;</P><P>3-(4'-클로로페닐)-6-벤질옥시-5,6-디히드로-4-(1,2,4-트리아졸릴)-1,2-옥사진;</P><P>3-[(4'-페닐)페닐]-6-메틸-6-페녹시메틸-5,6-디히드로-4-이미다졸릴-1,2-옥사진;</P><P>3-[(4'-페닐)페닐]-6-메틸-6-페녹시메틸-5,6-디히드로-4-(1,2,4-트리아졸릴)-1,2-옥사진;</P><P>3-[[4'-(p-브로모)페닐]페닐]-6-메틸-6-페녹시메틸-5,6-디히드로-4-이미다졸릴-1,2-옥사진;</P><P>3-[[4'-(p-브로모)페닐]페닐]-6-메틸-6-페녹시메틸-5,6-디히드로-4-(1,2,4-트리아졸릴)-1,2-옥사진;</P><P>3-[[4'-(p-브로모-o-플루오로)페닐]페닐]-6-메틸-6-페녹시메틸-5,6-디히드로-4-이미다졸릴-1,2-옥사진;</P><P>3-[[4'-(p-브로모-o-플루오로)페닐]페닐]-6-메틸-6-페녹시메틸-5,6-디히드로-4-(1,2,4-트리아졸릴)-1,2-옥사진;</P><P>3-(4'-페녹시페닐)-6-메틸-6-[(4'-페닐)페녹시메틸)]-5,6-디히드로-4-이미다졸릴-1,2-옥사진;</P><P>3-(4'-페녹시페닐)-6-메틸-6-[(4'-페닐)페녹시메틸)]-5,6-디히드로-4-(1,2,4-트리아졸릴)-1,2-옥사진;</P><P>3-(4'-클로로페닐)-6-페닐티오메틸-5,6-디히드로-4-이미다졸릴-1,2-옥사진;</P><P>3-(4'-클로로페닐)-6-페닐티오메틸-5,6-디히드로-4-(1,2,4-트리아졸릴)-1,2-옥사진;</P><P>3-[[4'-(p-니트로)페녹시]페닐]-6-메틸-6-페닐티오메틸-5,6-디히드로-4-이미다졸릴-1,2-옥사진; 또는</P><P>3-[[4'-(p-니트로)페녹시]페닐]-6-메틸-6-페닐티오메틸-5,6-디히드로-4-(1,2,4-트리아졸릴)-1,2-옥사진</P><P>인 것을 특징으로 하는 제 1항의 옥사지닐아졸 유도체</P>",1069,True,False,explicit_or_regex_estimated
1019980022960,1020000002287,,거절,거절,신규 옥사지닐아졸계 살균제,주식회사 디비하이텍,3,"3. <P>1) 구조식 2의 아세토페논 유도체를 이황화탄소 또는 아세트산에 녹인 다음 2 당량의 브롬을 가하여 구조식 3의 디브로모아세토페논 유도체를 얻는 단계 (제 1단계);</P><P>2) 메탄올이나 메탄올과 클로로포름 혼합용액에 제 1단계에서 얻은 구조식 3의 화합물을 녹이고 하이드록실아민염을 가한 후 상온에서 5~10 일간 교반시켜 구조식 4의 옥심 화합물을 얻는 단계 (제 2단계);</P><P>3) 제 2단계에서 얻은 구조식 4의 옥심 화합물을 디클로로메탄에 녹인 후 무수탄산나트륨 염기하에서 구조식 5의 알릴 화합물을 가하여 [4 + 2]고리화 반응을 수행하여 구조식 6의 브로모옥사진 화합물을 얻는 단계 (제 3단계); 및</P><P>4) 제 3단계에서 얻은 구조식 6의 화합물을 테트라하이드로퓨란에 녹이고 무수탄산칼륨 염기하에서 아졸화합물을 가하고 가열환류시킴으로서 목적 화합물인 화학식 1의 옥사지닐 화합물을 제조하는 단계 (제 4단계)로 이루어지는 것을 특징으로 하는 제 1항의 옥사지닐아졸 유도체의 제조방법</P><P>반응식 1</P><P><EMI ID=""6"" HE=""76"" WI=""139"" FILE=""kpo00005.TIF""></P><P>상기식에서 R<SB>1</SB>, R<SB>2</SB>, R<SB>3</SB>, R<SB>4</SB>, X 및 Y는 각각 제 1항의 화학식 1에서 정의한 바와 같다.</P>",691,False,True,explicit_or_regex_estimated
1019980022960,1020000002287,,거절,거절,신규 옥사지닐아졸계 살균제,주식회사 디비하이텍,4,4. <P>제 1항의 옥사지닐아졸 유도체의 단일물 또는 혼합물을 유효성분으로 하는 농업용 살균제</P>,57,False,True,explicit_or_regex_estimated
1019980022960,1020000002287,,거절,거절,신규 옥사지닐아졸계 살균제,주식회사 디비하이텍,5,"5. <P>제 4항에 있어서, 곡류, 과수, 채소류, 커피, 차나무, 잔디, 임업용 및 관상용 묘목, 화훼류의 지상부 및 지하부, 그리고 종자 또는 농산물의 저장중에 발생하는 병해를 방제하거나 병해피해를 줄이는데 사용하는 농업용 살균제</P>",135,True,False,explicit_or_regex_estimated
1019980022960,1020000002287,,거절,거절,신규 옥사지닐아졸계 살균제,주식회사 디비하이텍,6,"6. <P>제 4항에 있어서, 보리흰가루병, 밀녹병, 벼도열병, 벼잎집무늬마름병, 오이잿빛곰팡이병 또는 토마토역병에 우수한 방제효과를 나타내는 농업용 살균제</P>",91,True,False,explicit_or_regex_estimated
1019980022960,1020000002287,,거절,거절,신규 옥사지닐아졸계 살균제,주식회사 디비하이텍,7,"7. <P>제 4항에 있어서, 다른 살균제, 살충제, 제초제, 식물생장조절제 또는 비료와 혼합하여 구성되는 농업용 살균제</P>",71,True,False,explicit_or_regex_estimated
1019990003543,1020000055084,1003256810000,소멸,소멸,리튬이온전지의 양극활물질에서의 전이금속 회수방법,케이지스틸 주식회사|주식회사 디비하이텍,1,"1. <P INDENT=""14"" ALIGN=""JUSTIFIED"">(1) 리튬이온전지의 양극판으로부터 양극활물질인 리튬-전이금속 산화물을 박리하여 400 내지 1,000℃의 범위의 온도에서 연소시키는 연소단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">(2) 상기 연소단계에서 연소된 잔류물을 물로 세척하는 수세단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">(3) 연소되고, 수세된 수득물을 염산 등의 산수용액에 용해시키는 가산용해단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">(4) 상기 가산용해단계에서 수득된 용액에 옥살산, 개미산 등의 카르복실산의 알칼리금속염 또는 알칼리토금속염들로 이루어진 카르복실산염을 가하여 카르복실산-전이금속염을 생성시키는 침전단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">(5) 상기 침전단계에서 수득된 침전물을 여과하여 분리하고, 건조시키는 침전회수단계; 및 </P><P INDENT=""14"" ALIGN=""JUSTIFIED"">(6) 건조된 침전물을 불활성분위기 또는 환원분위기에서 200 내지 900℃의 범위의 온도에서 가열하여 환원시키는 환원단계;</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">를 포함하여 이루어짐을 특징으로 하는 리튬이온전지의 양극활물질에서의 전이금속 회수방법.</P>",693,False,True,explicit_or_regex_estimated
1019990003543,1020000055084,1003256810000,소멸,소멸,리튬이온전지의 양극활물질에서의 전이금속 회수방법,케이지스틸 주식회사|주식회사 디비하이텍,2,"2. <P INDENT=""0"" ALIGN=""JUSTIFIED"">제 1 항에 있어서,</P><P INDENT=""0"" ALIGN=""JUSTIFIED"">상기 수세단계가 상기 연소단계 이전에 선행되는 것을 특징으로 하는 상기 리튬이온전지의 양극활물질에서의 전이금속 회수방법.</P>",153,True,False,explicit_or_regex_estimated
1019990003543,1020000055084,1003256810000,소멸,소멸,리튬이온전지의 양극활물질에서의 전이금속 회수방법,케이지스틸 주식회사|주식회사 디비하이텍,3,"3. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제 1 항에 있어서,</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 가산용해단계에서 염산, 황산, 질산 또는 이들 중 2이상의 혼합물로 이루어진 그룹 중에서 선택된 산이 사용됨을 특징으로 하는 상기 리튬이온전지의 양극활물질에서의 전이금속 회수방법.</P>",191,True,False,explicit_or_regex_estimated
1019990003543,1020000055084,1003256810000,소멸,소멸,리튬이온전지의 양극활물질에서의 전이금속 회수방법,케이지스틸 주식회사|주식회사 디비하이텍,4,"4. <P INDENT=""0"" ALIGN=""JUSTIFIED"">제 3 항에 있어서,</P><P INDENT=""0"" ALIGN=""JUSTIFIED"">상기 가산용해단계가 30 내지 100℃의 범위의 온도에서 수행됨을 특징으로 하는 상기 리튬이온전지의 양극활물질에서의 전이금속 회수방법.</P>",161,True,False,explicit_or_regex_estimated
1019990003543,1020000055084,1003256810000,소멸,소멸,리튬이온전지의 양극활물질에서의 전이금속 회수방법,케이지스틸 주식회사|주식회사 디비하이텍,5,"5. <P INDENT=""0"" ALIGN=""JUSTIFIED"">제 3 항에 있어서,</P><P INDENT=""0"" ALIGN=""JUSTIFIED"">상기 가산용해단계에서 사용되는 산의 양은 전이금속의 원자가 당량비로 1.0 내지 3.0 당량임을 특징으로 하는 상기 리튬이온전지의 양극활물질에서의 전이금속 회수방법.</P>",178,True,False,explicit_or_regex_estimated
1019990003543,1020000055084,1003256810000,소멸,소멸,리튬이온전지의 양극활물질에서의 전이금속 회수방법,케이지스틸 주식회사|주식회사 디비하이텍,6,"6. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제 1 항에 있어서,</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 침전단계에서 옥살산, 개미산 등의 카르복실산의 알칼리금속염 또는 알칼리토금속염들로 이루어진 그룹 중에서 선택된 카르복실산염이 사용됨을 특징으로 하는 상기 리튬이온전지의 양극활물질에서의 전이금속 회수방법.</P>",204,True,False,explicit_or_regex_estimated
1019990003543,1020000055084,1003256810000,소멸,소멸,리튬이온전지의 양극활물질에서의 전이금속 회수방법,케이지스틸 주식회사|주식회사 디비하이텍,7,"7. <P INDENT=""14"" ALIGN=""JUSTIFIED"">제 6 항에 있어서,</P><P INDENT=""14"" ALIGN=""JUSTIFIED"">상기 침전단계가 0 내지 120℃의 범위의 온도에서 수행됨을 특징으로 하는 상기 리튬이온전지의 양극활물질에서의 전이금속 회수방법.</P>",160,True,False,explicit_or_regex_estimated
