company_slug,company_name,source,sheet,excel_row,category,item_name,metric_name,metric_value,metric_unit,metric_value_source,numeric_signal_count,keyword_signal_count,content_present,content_char_count,quantifiable_plan,major_source_plan,middle_source_plan
woldex,월덱스,tech_agent_packet_category_metrics,tech_agent_packet.categories,2,대표 기술,핵심 기술 키워드,기술 키워드 등장 빈도,147,회,"기술 키워드 등장 빈도; 147회; DART/IR/공식/특허/로컬 기술 원천에서 핵심 기술 키워드 출현 횟수 합산; 공정 44; 양산 31; 전구체 17; 고순도 17; AI 14; 수율 8; EV 7; HPC 6; EMI 3; 월덱스은 공정, 양산, 전구체 기반 기술/공정 기업으로, 관련 기술은 실제 원천에서 0회 확인됩니다. 해당 기술은 0개 제품·공정 영역과 연결되며, 양산·공정·기술 문맥을 통해 구현 방향을 판단합니다.",12,9,1,240,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)","사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허"
woldex,월덱스,tech_agent_packet_category_metrics,tech_agent_packet.categories,3,대표 기술,적용 방식,적용 제품/공정 수,0,개,"적용 제품/공정 수; 0개; 근거 문장 내 적용 제품·공정·Application 고유 키워드 수; 월덱스은 공정, 양산, 전구체 기반 기술/공정 기업으로, 관련 기술은 실제 원천에서 0회 확인됩니다. 해당 기술은 0개 제품·공정 영역과 연결되며, 양산·공정·기술 문맥을 통해 구현 방향을 판단합니다.",3,0,1,167,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)","사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허"
woldex,월덱스,tech_agent_packet_category_metrics,tech_agent_packet.categories,4,대표 기술,핵심 성능 요소,적용 제품/공정 수,0,개,"적용 제품/공정 수; 0개; 근거 문장 내 적용 제품·공정·Application 고유 키워드 수; 월덱스은 공정, 양산, 전구체 기반 기술/공정 기업으로, 관련 기술은 실제 원천에서 0회 확인됩니다. 해당 기술은 0개 제품·공정 영역과 연결되며, 양산·공정·기술 문맥을 통해 구현 방향을 판단합니다.",3,0,1,167,"기술 키워드 등장 빈도, 적용 제품/공정 수, 수치화 가능한 성능(순도 %, 온도 ℃, 수율 %, 처리속도, 수명 등 : 따로 추출?)","사업 보고서, 기업 홈페이지, 특허 사이트","사업보고서: 사업의 내용 → 주요 제품 및 서비스 / 연구개발활동 / 생산공정·기술설명 / 원재료 및 전구체 설명 / 신규사업 내용
기업 홈페이지: 기술소개 / 제품기술 페이지 / 소재·공정 설명 페이지 / Application(적용 분야) 페이지 / R&D센터 소개
특허 사이트: 대표 등록특허 초록 / 청구항 / IPC·CPC 분류 / 특허 패밀리 / 피인용 특허"
woldex,월덱스,tech_agent_packet_category_metrics,tech_agent_packet.categories,5,핵심 제품/서비스,제품명/서비스명,제품/서비스 축 수,5,개,"제품/서비스 축 수; 5개; 제품·서비스 후보 고유 키워드 수; EMI; AI; EV; 양산; 소재; 핵심 제품/서비스는 EMI, AI, EV 중심으로 확인됩니다. 실제 원천 기준 0개 제품·서비스 축이 추출되며, 매출·성장 정량 신호는 DART/IR 문맥과 결합해 수익성 기여 판단에 사용합니다.",2,5,1,166,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수","사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드"
woldex,월덱스,tech_agent_packet_category_metrics,tech_agent_packet.categories,6,핵심 제품/서비스,적용 기술,제품/서비스 축 수,1,개,"제품/서비스 축 수; 1개; 제품·서비스 후보 고유 키워드 수; 소재; 핵심 제품/서비스는 EMI, AI, EV 중심으로 확인됩니다. 실제 원천 기준 0개 제품·서비스 축이 추출되며, 매출·성장 정량 신호는 DART/IR 문맥과 결합해 수익성 기여 판단에 사용합니다.",2,1,1,149,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수","사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드"
woldex,월덱스,tech_agent_packet_category_metrics,tech_agent_packet.categories,7,핵심 제품/서비스,주요 고객군,제품/서비스 축 수,5,개,"제품/서비스 축 수; 5개; 제품·서비스 후보 고유 키워드 수; EMI; AI; EV; 양산; 소재; 핵심 제품/서비스는 EMI, AI, EV 중심으로 확인됩니다. 실제 원천 기준 0개 제품·서비스 축이 추출되며, 매출·성장 정량 신호는 DART/IR 문맥과 결합해 수익성 기여 판단에 사용합니다.",2,5,1,166,"매출 비중 %, 전년 성장률 %, 제품 수, 고객 산업 수","사업 보고서 - 매출 구성
홈페이지 매출구성
IR 발표자료","사업보고서: 사업부문별 매출 / 제품별 매출 / 주요 제품 매출 비중 / 수출 비중 / 사업부별 실적
홈페이지: 제품 포트폴리오 / 제품 카테고리 / 베스트셀러·주력제품 / 응용처별 제품 분류
IR: Company Overview / Product Portfolio / Revenue Breakdown / Business Segment / 성장동력 슬라이드"
woldex,월덱스,tech_agent_packet_category_metrics,tech_agent_packet.categories,8,고객 구매 이유,고객 효익,고객 효익 키워드 수,0,개,"고객 효익 키워드 수; 0개; 성능·원가·품질·수율 등 고객 효익 표현 고유 개수; 고객 구매 이유는 핵심 기술 관련 성능·품질·양산 효익으로 정리됩니다. 실제 근거에서 고객 효익 신호 0개가 확인되며, 단순 기술 키워드가 아니라 적용처·성능·양산 문맥과 함께 해석합니다.",2,0,1,152,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수","1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급"
woldex,월덱스,tech_agent_packet_category_metrics,tech_agent_packet.categories,9,고객 구매 이유,경쟁 제품 대비 장점,효익 관련 정량 수치,1,건,"효익 관련 정량 수치; 1건; 성능·원가·수율·처리속도 문맥 숫자 포함 문장 수; 101 xy Evidence company_slug: woldex stock_code: 101160 evidence_status: FALLBACK_LOCAL_PROXY universe_lock: universe_30_semico; 고객 구매 이유는 핵심 기술 관련 성능·품질·양산 효익으로 정리됩니다. 실제 근거에서 고객 효익 신호 0개가 확인되며, 단순 기술 키워드가 아니라 적용처·성능·양산 문맥과 함께 해석합니다.",5,1,1,280,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수","1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급"
woldex,월덱스,tech_agent_packet_category_metrics,tech_agent_packet.categories,10,고객 구매 이유,실제 적용 사례,효익 관련 정량 수치,1,건,"효익 관련 정량 수치; 1건; 성능·원가·수율·처리속도 문맥 숫자 포함 문장 수; 101 xy Evidence company_slug: woldex stock_code: 101160 evidence_status: FALLBACK_LOCAL_PROXY universe_lock: universe_30_semico; 고객 구매 이유는 핵심 기술 관련 성능·품질·양산 효익으로 정리됩니다. 실제 근거에서 고객 효익 신호 0개가 확인되며, 단순 기술 키워드가 아니라 적용처·성능·양산 문맥과 함께 해석합니다.",5,1,1,280,"성능 개선율 %, 원가 절감률 %, 처리속도, 불량률 감소, 수명 증가, 고객사 수","1) IR
2) 제품 홍보 자료
3) 인터뷰 기사","IR: Investment Highlights / 제품 경쟁력 / 고객사 채택 배경 / 고객 효익 설명 슬라이드 / 양산 적용 사례
제품 홍보 자료: 제품 브로슈어 / 기술소개서 / 데이터시트 / Application Note / 비교표 / FAQ
인터뷰 기사: 고객이 선택한 이유 / 채택 배경 / 기존 대안 대비 개선점 / 산업 현장 적용 사례 / 신규 수요처 언급"
woldex,월덱스,tech_agent_packet_category_metrics,tech_agent_packet.categories,11,경쟁 우위 요소/대체가능성,등록 특허,"등록 특허 수, 인증 수, 주요 고객 승인 수, 고객 전환 기간, 레퍼런스 건수",25,억원,"등록 특허 수, 인증 수, 주요 고객 승인 수, 고객 전환 기간, 레퍼런스 건수; 25억원; KIPRIS Tech ML normalized patent count; total=30; registered_estimated=25; alive_estimated=15; recent_5y=6; semiconductor_ipc=1; top_ipc=H10P:16, H01J:3, E06B:3, C04B:2, B23B:1; scores=legal_stability_score_estimated:70.5, portfolio_momentum_score:29.7, ip_technology_fit_score:18.17, kipris_tech_ml_score:42.56; 경쟁 우위는 특허, 양산와 연결된 특허·공정·양산 경험을 중심으로 확인됩니다. 대체가능성 판단에는 특허 수 자체보다 고객 승인, 공정 난이도, 양산 경험 등 0개 장벽 신호를 함께 반영합니다.",20,30,1,472,"등록 특허 수, 인증 수, 주요 고객 승인 수, 고객 전환 기간, 레퍼런스 건수",사업보고서 / 특허 / 기사,"사업보고서: 시장 경쟁상황 / 진입장벽 / 기술 경쟁력 / 주요 원재료·공정 우위 / 위험요인 / 신규 경쟁사 언급
특허: 등록특허 수 / 핵심 특허 존속기간 / 청구항 범위 / 회피설계 난이도 / 해외 등록 여부
기사: 경쟁사 비교 기사 / 국산화·대체재 기사 / 고객사 공급 확정 기사 / 업계 평가 / 가격·수율 경쟁 기사"
