application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020230189715,1020250098430,,공개,공개,네트워크 온 칩의 설계 공간 탐색 방법 및 그 장치,주식회사 텔레칩스
1020050130815,,1007487150000,소멸,소멸,하드웨어 작업관리 장치,주식회사 텔레칩스
1020230189392,1020250098271,,공개,공개,플로어 플랜 시각화를 이용한 GP 먹스 위치를 설정하는 반도체 칩의 설계 방법 및 그 장치,주식회사 텔레칩스
1020070004359,,1007483850000,소멸,소멸,이동형 저장매체를 이용한 음향 시스템 및 그 제어방법,주식회사 텔레칩스
1020080130221,1020100071487,1009741900000,소멸,소멸,부동 소수점을 이용한 복소수 곱셈방법,주식회사 텔레칩스
1020080027987,,1009105530000,소멸,소멸,싱크 에러가 포함된 데이터 CD 판독 방법,주식회사 텔레칩스
1020210041302,1020220077823,1024767100000,등록,등록,대체 이미지를 제공하는 장치 및 그 방법,주식회사 텔레칩스
1020190163002,,1022285990000,등록,등록,ISDB 전송 스트림의 심리스 전환을 제공하는 송신 장치 및 수신 장치,주식회사 텔레칩스
1020190173272,1020210081079,1022755290000,등록,등록,멀티-마스터를 지원하는 그래픽 처리 장치를 공유하는 시스템 온 칩 및 그래픽 처리 장치의 동작 방법,주식회사 텔레칩스
1020210042052,,1023779000000,등록,등록,더블 토크 이득 제어 장치 및 그 방법,주식회사 텔레칩스
1020190082072,,1021587730000,등록,등록,펄스 폭 변조기 및 이를 이용한 펄스 폭 변조 신호 모니터링 방법,주식회사 텔레칩스
1020100126831,1020120065615,1011806890000,등록,등록,위성 좌표 예측을 이용한 수신기 좌표 계산 장치,주식회사 텔레칩스|건국대학교 산학협력단
1020190174551,1020210082024,1022772900000,등록,등록,교통사고 정보 제공 장치 및 방법,주식회사 텔레칩스
1020210180989,1020230091661,1029152610000,등록,등록,안드로이드 오토모티브 오디오 시스템 및 이를 이용한 스트림 변환 방법,주식회사 텔레칩스
1020210045484,1020220077827,1024463470000,등록,등록,차량 통화 시스템 및 이를 이용한 오디오 입출력 제어 방법,주식회사 텔레칩스
1020210052392,1020220077831,1025104070000,등록,등록,전원 관리 장치 및 그 동작 방법,주식회사 텔레칩스
1020210173915,1020230085596,1026731930000,등록,등록,다채널 차량 블랙박스 및 녹화 파일 생성 방법,주식회사 텔레칩스
1020190094366,,1021682270000,등록,등록,디지털 클러스터 출력음 모니터링 시스템 및 방법,주식회사 텔레칩스
1020210042051,1020220077824,1025744250000,등록,등록,기저대역의 OFDM 수신 장치 및 그 장치에서의 샘플 클럭 오류 추정 방법,주식회사 텔레칩스
1020210048016,1020220077829,1024664170000,등록,등록,영상 표출 장치로 영상 신호를 전송하는 영상 출력 시스템 및 이를 이용한 표출 영상 변경 방법,주식회사 텔레칩스
1020190069620,,1021537180000,등록,등록,화면 멈춤을 초래하는 정지 프레임을 결정하는 차량 클러스터 장치 및 그 방법,주식회사 텔레칩스
1020210163187,1020220077872,1025489930000,등록,등록,다양한 영상 모드를 지원하는 이미지 스케일링 시스템 및 그 방법,주식회사 텔레칩스
1020210071970,1020220077837,1024784580000,등록,등록,후방 카메라 영상 처리 장치 및 방법,주식회사 텔레칩스
1020190174324,,1022118530000,등록,등록,이종의 멀티 CPU가 탑재된 시스템-온-칩 및 CPU 리부팅을 제어하는 방법,주식회사 텔레칩스
1020200167009,1020220077753,1025415010000,등록,등록,이미지 오류 검출 방법 및 그 장치,주식회사 텔레칩스
1020210183805,1020230094551,1026717330000,등록,등록,차량 멀티미디어 시스템 및 이를 이용한 스트리밍 버퍼 수위 제어 방법,주식회사 텔레칩스
1020200110352,1020200108262,1022469010000,등록,등록,자동 이득 제어 장치 및 방법,주식회사 텔레칩스
1020190174322,1020210081908,1023939580000,등록,등록,암호화 알고리즘이 적용된 시스템에서의 데이터 처리 방법,주식회사 텔레칩스
1020190176930,,1022541660000,등록,등록,볼 그리드 어레이 인쇄회로기판,주식회사 텔레칩스
1020190072443,,1021537090000,등록,등록,클록 오프셋을 추정하는 디지털 오디오 방송 수신 장치 및 그 방법,주식회사 텔레칩스
